Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Afghanistan	177788	24.0	7671.0	1.0	161031.0	20.0	9086.0	1124.0	4394.0	190.0	922414.0	22797.0	40462186.0	Asia
2022-04-03	Afghanistan	177795	7.0	7671.0		161033.0	2.0	9091.0	1124.0	4394.0	190.0	922789.0	22805.0	40464587.0	Asia
2022-04-04	Afghanistan	177827	32.0	7671.0		161033.0		9123.0	1124.0	4394.0	190.0	923538.0	22822.0	40466988.0	Asia
2022-04-05	Afghanistan	177903	76.0	7671.0		161033.0		9199.0	1124.0	4396.0	190.0	924679.0	22849.0	40469390.0	Asia
2022-04-06	Afghanistan	177949	46.0	7671.0		161033.0		9245.0	1124.0	4397.0	190.0	925444.0	22866.0	40471791.0	Asia
2022-04-07	Afghanistan	177974	25.0	7671.0		161033.0		9270.0	1124.0	4397.0	190.0	926472.0	22890.0	40474192.0	Asia
2022-04-08	Afghanistan	177974		7671.0		161033.0		9270.0	1124.0	4397.0	190.0	926472.0	22889.0	40476593.0	Asia
2022-04-09	Afghanistan	177974		7671.0		161033.0		9270.0	1124.0	4397.0	190.0	926472.0	22888.0	40478994.0	Asia
2022-04-10	Afghanistan	177974		7671.0		161033.0		9270.0	1124.0	4396.0	189.0	926472.0	22886.0	40481396.0	Asia
2022-04-11	Afghanistan	177974		7674.0	1.0	161033.0		9267.0	1124.0	4396.0	190.0	926472.0	22885.0	40483797.0	Asia
2022-04-12	Afghanistan	178257	51.0	7676.0		161363.0	44.0	9218.0	1124.0	4403.0	190.0	931702.0	23013.0	40486198.0	Asia
2022-04-13	Afghanistan	178295	38.0	7676.0		161417.0	54.0	9202.0	1124.0	4404.0	190.0	932483.0	23032.0	40486198.0	Asia
2022-04-14	Afghanistan	178295		7676.0		161417.0		9202.0	1124.0	4404.0	190.0	932483.0	23032.0	40486198.0	Asia
