Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Albania	273759	82.0	3492.0		269787.0	71.0	480.0	13.0	95310.0	1216.0	1778617.0	619232.0	2872296.0	Europe
2022-04-03	Albania	273823	64.0	3492.0		269828.0	41.0	503.0	13.0	95333.0	1216.0	1779844.0	619661.0	2872287.0	Europe
2022-04-04	Albania	273870	47.0	3492.0		269862.0	34.0	516.0	13.0	95349.0	1216.0	1780345.0	619837.0	2872279.0	Europe
2022-04-05	Albania	273913	43.0	3492.0		269924.0	62.0	497.0	13.0	95365.0	1216.0	1781188.0	620133.0	2872270.0	Europe
2022-04-06	Albania	274000	87.0	3492.0		270055.0	131.0	453.0	13.0	95395.0	1216.0	1782376.0	620548.0	2872262.0	Europe
2022-04-07	Albania	274055	55.0	3492.0		270102.0	47.0	461.0	13.0	95415.0	1216.0	1783280.0	620865.0	2872253.0	Europe
2022-04-08	Albania	274108	53.0	3492.0		270155.0	53.0	461.0	13.0	95433.0	1216.0	1784455.0	621275.0	2872245.0	Europe
2022-04-09	Albania	274136	28.0	3492.0		270272.0	117.0	372.0	13.0	95443.0	1216.0	1785301.0	621572.0	2872236.0	Europe
2022-04-10	Albania	274191	55.0	3492.0		270317.0	45.0	382.0	2.0	95463.0	1216.0	1786389.0	621952.0	2872228.0	Europe
2022-04-11	Albania	274219	28.0	3493.0	1.0	270341.0	24.0	385.0	2.0	95473.0	1216.0	1786831.0	622108.0	2872219.0	Europe
2022-04-12	Albania	274219		3493.0		270341.0		385.0	2.0	95473.0	1216.0	1786831.0	622110.0	2872210.0	Europe
2022-04-13	Albania	274236	17.0	3494.0	1.0	270378.0	37.0	364.0	2.0	95479.0	1216.0	1787376.0	622300.0	2872210.0	Europe
2022-04-14	Albania	274320	84.0	3494.0		270474.0	96.0	352.0	2.0	95508.0	1216.0	1789363.0	622992.0	2872210.0	Europe
