Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Andorra	40024		153.0		39283.0		588.0	14.0	516565.0	1975.0	249838.0	3224507.0	77481.0	Europe
2022-04-03	Andorra	40024		153.0		39283.0		588.0	14.0	516559.0	1975.0	249838.0	3224465.0	77482.0	Europe
2022-04-04	Andorra	40024		153.0		39283.0		588.0	14.0	516559.0	1975.0	249838.0	3224465.0	77482.0	Europe
2022-04-05	Andorra	40024		153.0		39283.0		588.0	14.0	516559.0	1975.0	249838.0	3224465.0	77482.0	Europe
2022-04-06	Andorra	40024		153.0		39283.0		588.0	14.0	516552.0	1975.0	249838.0	3224423.0	77483.0	Europe
2022-04-07	Andorra	40024		153.0		39283.0		588.0	14.0	516552.0	1975.0	249838.0	3224423.0	77483.0	Europe
2022-04-08	Andorra	40328	304.0	153.0		39702.0	419.0	473.0	14.0	520475.0	1975.0	249838.0	3224423.0	77483.0	Europe
2022-04-09	Andorra	40328		153.0		39702.0		473.0	14.0	520469.0	1975.0	249838.0	3224382.0	77484.0	Europe
2022-04-10	Andorra	40328		153.0		39702.0		473.0	14.0	520469.0	1975.0	249838.0	3224382.0	77484.0	Europe
2022-04-11	Andorra	40328		153.0		39702.0		473.0	14.0	520469.0	1975.0	249838.0	3224382.0	77484.0	Europe
2022-04-12	Andorra	40328		153.0		39702.0		473.0	14.0	520462.0	1975.0	249838.0	3224340.0	77485.0	Europe
2022-04-13	Andorra	40328		153.0		39702.0		473.0	14.0	520462.0	1975.0	249838.0	3224340.0	77485.0	Europe
2022-04-14	Andorra	40709	381.0	153.0		39999.0	297.0	557.0	14.0	525379.0	1975.0	249838.0	3224340.0	77485.0	Europe
