Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Argentina	9039838	1927.0	128052.0	33.0	8863774.0	3696.0	48012.0	487.0	196853.0	2788.0	35428975.0	771507.0	45921761.0	South America
2022-04-03	Argentina	9040640	802.0	128059.0	7.0	8866417.0	2643.0	46164.0	487.0	196866.0	2789.0	35444919.0	771835.0	45922893.0	South America
2022-04-04	Argentina	9041124	484.0	128065.0	6.0	8867907.0	1490.0	45152.0	487.0	196871.0	2789.0	35455227.0	772041.0	45924025.0	South America
2022-04-05	Argentina	9043098	1974.0	128086.0	21.0	8870542.0	2635.0	44470.0	476.0	196909.0	2789.0	35478057.0	772519.0	45925157.0	South America
2022-04-06	Argentina	9045326	2228.0	128106.0	20.0	8872658.0	2116.0	44562.0	468.0	196953.0	2789.0	35510477.0	773206.0	45926289.0	South America
2022-04-07	Argentina	9047408	2082.0	128144.0	38.0	8874269.0	1611.0	44995.0	466.0	196994.0	2790.0	35535639.0	773735.0	45927421.0	South America
2022-04-08	Argentina	9049250	1842.0	128158.0	14.0	8877337.0	3068.0	43755.0	428.0	197029.0	2790.0	35561414.0	774277.0	45928553.0	South America
2022-04-09	Argentina	9051243	1993.0	128194.0	36.0	8880138.0	2801.0	42911.0	429.0	197067.0	2791.0	35585583.0	774784.0	45929685.0	South America
2022-04-10	Argentina	9052083	840.0	128197.0	3.0	8882702.0	2564.0	41184.0	429.0	197081.0	2791.0	35601432.0	775110.0	45930817.0	South America
2022-04-11	Argentina	9052536	453.0	128198.0	1.0	8885072.0	2370.0	39266.0	429.0	197086.0	2791.0	35611642.0	775313.0	45931949.0	South America
2022-04-12	Argentina	9054126	1590.0	128233.0	35.0	8886999.0	1927.0	38894.0	421.0	197116.0	2792.0	35632186.0	775741.0	45933081.0	South America
2022-04-13	Argentina	9056203	2077.0	128268.0	35.0	8888514.0	1515.0	39421.0	424.0	197161.0	2792.0	35657472.0	776292.0	45933081.0	South America
2022-04-14	Argentina	9057923	1720.0	128285.0	17.0	8889899.0	1385.0	39739.0	424.0	197198.0	2793.0	35681964.0	776825.0	45933081.0	South America
