Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Australia	4578611	64404.0	6341.0	17.0	4076428.0	51837.0	495842.0	88.0	175980.0	244.0	66674638.0	2562658.0	26017767.0	Australia/Oceania
2022-04-03	Australia	4633278	54667.0	6367.0	26.0	4126817.0	50389.0	500094.0	95.0	178076.0	245.0	66770212.0	2566252.0	26018575.0	Australia/Oceania
2022-04-04	Australia	4680816	47538.0	6384.0	17.0	4170493.0	43676.0	503939.0	103.0	179897.0	245.0	66861156.0	2569667.0	26019383.0	Australia/Oceania
2022-04-05	Australia	4727501	46685.0	6398.0	14.0	4221386.0	50893.0	499717.0	107.0	181686.0	246.0	66986568.0	2574407.0	26020191.0	Australia/Oceania
2022-04-06	Australia	4785679	58178.0	6435.0	37.0	4292552.0	71166.0	486692.0	114.0	183916.0	247.0	67080089.0	2577921.0	26021000.0	Australia/Oceania
2022-04-07	Australia	4847725	62046.0	6462.0	27.0	4360305.0	67753.0	480958.0	104.0	186295.0	248.0	67214128.0	2582992.0	26021808.0	Australia/Oceania
2022-04-08	Australia	4911725	64000.0	6495.0	33.0	4420823.0	60518.0	484407.0	102.0	188748.0	250.0	67345284.0	2587952.0	26022616.0	Australia/Oceania
2022-04-09	Australia	4970754	59029.0	6526.0	31.0	4476602.0	55779.0	487626.0	93.0	191011.0	251.0	67474141.0	2592823.0	26023424.0	Australia/Oceania
2022-04-10	Australia	5019894	49140.0	6550.0	24.0	4527754.0	51152.0	485590.0	103.0	192893.0	252.0	67568503.0	2596369.0	26024232.0	Australia/Oceania
2022-04-11	Australia	5064885	44991.0	6564.0	14.0	4572728.0	44974.0	485593.0	112.0	194616.0	252.0	67658270.0	2599737.0	26025040.0	Australia/Oceania
2022-04-12	Australia	5107611	42726.0	6569.0	5.0	4624577.0	51849.0	476465.0	121.0	196251.0	252.0	67759572.0	2603549.0	26025848.0	Australia/Oceania
2022-04-13	Australia	5153619	46008.0	6609.0	40.0	4692067.0	67490.0	454943.0	130.0	198019.0	254.0	67815935.0	2605715.0	26025848.0	Australia/Oceania
2022-04-14	Australia	5206999	53380.0	6648.0	39.0	4692067.0		508284.0	126.0	200070.0	255.0	67955995.0	2611096.0	26025848.0	Australia/Oceania
