Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Azerbaijan	791979	47.0	9694.0	2.0	781938.0	49.0	347.0		76897.0	941.0	6706012.0	651122.0	10299156.0	Asia
2022-04-03	Azerbaijan	792019	40.0	9697.0	3.0	781974.0	36.0	348.0		76899.0	942.0	6710309.0	651524.0	10299405.0	Asia
2022-04-04	Azerbaijan	792061	42.0	9697.0		782023.0	49.0	341.0		76902.0	941.0	6714357.0	651901.0	10299655.0	Asia
2022-04-05	Azerbaijan	792067	6.0	9697.0		782040.0	17.0	330.0		76900.0	941.0	6716463.0	652090.0	10299904.0	Asia
2022-04-06	Azerbaijan	792103	36.0	9700.0	3.0	782084.0	44.0	319.0		76902.0	942.0	6721330.0	652547.0	10300153.0	Asia
2022-04-07	Azerbaijan	792141	38.0	9701.0	1.0	782143.0	59.0	297.0		76904.0	942.0	6726560.0	653039.0	10300403.0	Asia
2022-04-08	Azerbaijan	792166	25.0	9703.0	2.0	782204.0	61.0	259.0		76904.0	942.0	6731315.0	653484.0	10300652.0	Asia
2022-04-09	Azerbaijan	792188	22.0	9703.0		782252.0	48.0	233.0		76905.0	942.0	6735182.0	653844.0	10300902.0	Asia
2022-04-10	Azerbaijan	792216	28.0	9703.0		782293.0	41.0	220.0		76906.0	942.0	6739008.0	654200.0	10301151.0	Asia
2022-04-11	Azerbaijan	792237	21.0	9703.0		782332.0	39.0	202.0		76906.0	942.0	6743461.0	654616.0	10301401.0	Asia
2022-04-12	Azerbaijan	792253	16.0	9703.0		782351.0	19.0	199.0		76905.0	942.0	6746085.0	654855.0	10301650.0	Asia
2022-04-13	Azerbaijan	792289	36.0	9703.0		782375.0	24.0	211.0		76909.0	942.0	6750860.0	655318.0	10301650.0	Asia
2022-04-14	Azerbaijan	792305	16.0	9704.0	1.0	782416.0	41.0	185.0		76910.0	942.0	6755203.0	655740.0	10301650.0	Asia
