Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Barbados	59495	223.0	375.0	1.0	57636.0	43.0	1484.0		206586.0	1302.0	613322.0	2129657.0	287991.0	North America
2022-04-03	Barbados	59734	239.0	375.0		58084.0	448.0	1275.0		207415.0	1302.0	614361.0	2133257.0	287992.0	North America
2022-04-04	Barbados	59938	204.0	375.0		58084.0		1479.0		208123.0	1302.0	615321.0	2136583.0	287993.0	North America
2022-04-05	Barbados	60160	222.0	375.0		58084.0		1701.0		208893.0	1302.0	616205.0	2139645.0	287994.0	North America
2022-04-06	Barbados	60592	432.0	375.0		58319.0	235.0	1898.0		210393.0	1302.0	617920.0	2145593.0	287995.0	North America
2022-04-07	Barbados	60890	298.0	376.0	1.0	58319.0		2195.0		211427.0	1306.0	619228.0	2150127.0	287996.0	North America
2022-04-08	Barbados	61267	377.0	377.0	1.0	58914.0	595.0	1976.0		212735.0	1309.0	620629.0	2154984.0	287997.0	North America
2022-04-09	Barbados	61636	369.0	379.0	2.0	58914.0		2343.0		214015.0	1316.0	620629.0	2154977.0	287998.0	North America
2022-04-10	Barbados	61953	317.0	379.0		58914.0		2660.0		215115.0	1316.0	623194.0	2163876.0	287999.0	North America
2022-04-11	Barbados	62214	261.0	379.0		59312.0	398.0	2523.0		216021.0	1316.0	624286.0	2167660.0	288000.0	North America
2022-04-12	Barbados	62968	543.0	379.0		59521.0	197.0	3068.0		218638.0	1316.0	626701.0	2176038.0	288001.0	North America
2022-04-13	Barbados	62968		379.0		59521.0		3068.0		218638.0	1316.0	626701.0	2176038.0	288001.0	North America
2022-04-14	Barbados	62968		379.0		59521.0		3068.0		218638.0	1316.0	626701.0	2176038.0	288001.0	North America
