Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Belarus	963756	1049.0	6829.0	10.0	928536.0		28391.0		102051.0	723.0	12868991.0	1362680.0	9443882.0	Europe
2022-04-03	Belarus	964677	921.0	6836.0	7.0	928536.0		29305.0		102148.0	724.0	12880424.0	1363892.0	9443873.0	Europe
2022-04-04	Belarus	965322	645.0	6844.0	8.0	928536.0		29942.0		102217.0	725.0	12891473.0	1365063.0	9443865.0	Europe
2022-04-05	Belarus	965654	332.0	6849.0	5.0	928536.0		30269.0		102252.0	725.0	12897334.0	1365685.0	9443856.0	Europe
2022-04-06	Belarus	965947	293.0	6853.0	4.0	928536.0		30558.0		102283.0	726.0	12899942.0	1365962.0	9443848.0	Europe
2022-04-07	Belarus	966819	872.0	6862.0	9.0	928536.0		31421.0		102376.0	727.0	12913852.0	1367437.0	9443839.0	Europe
2022-04-08	Belarus	967731	912.0	6866.0	4.0	928536.0		32329.0		102472.0	727.0	12928823.0	1369023.0	9443831.0	Europe
2022-04-09	Belarus	968676	945.0	6870.0	4.0	928536.0		33270.0		102572.0	727.0	12941335.0	1370349.0	9443822.0	Europe
2022-04-10	Belarus	969616	940.0	6872.0	2.0	928536.0		34208.0		102672.0	728.0	12952334.0	1371515.0	9443814.0	Europe
2022-04-11	Belarus	970141	525.0	6874.0	2.0	928536.0		34731.0		102728.0	728.0	12964077.0	1372760.0	9443805.0	Europe
2022-04-12	Belarus	970750	307.0	6882.0	5.0	928536.0		35332.0		102792.0	729.0	12973046.0	1373711.0	9443797.0	Europe
2022-04-13	Belarus	971649	899.0	6885.0	3.0	928536.0		36228.0		102888.0	729.0	12987175.0	1375207.0	9443797.0	Europe
2022-04-14	Belarus	971649		6885.0		928536.0		36228.0		102888.0	729.0	12987175.0	1375207.0	9443797.0	Europe
