Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Bermuda	12564		128.0		12198.0		238.0		203055.0	2069.0	841380.0	13598061.0	61875.0	North America
2022-04-03	Bermuda	12564		128.0		12198.0		238.0		203055.0	2069.0	841380.0	13598061.0	61875.0	North America
2022-04-04	Bermuda	12564		128.0		12198.0		238.0		203058.0	2069.0	841380.0	13598280.0	61874.0	North America
2022-04-05	Bermuda	12564		128.0		12198.0		238.0		203061.0	2069.0	841380.0	13598500.0	61873.0	North America
2022-04-06	Bermuda	12564		128.0		12198.0		238.0		203061.0	2069.0	841380.0	13598500.0	61873.0	North America
2022-04-07	Bermuda	12564		128.0		12198.0		238.0		203064.0	2069.0	841380.0	13598720.0	61872.0	North America
2022-04-08	Bermuda	12711	147.0	129.0	1.0	12362.0	164.0	220.0		205444.0	2085.0	848492.0	13713889.0	61871.0	North America
2022-04-09	Bermuda	12711		129.0		12362.0		220.0		205444.0	2085.0	848492.0	13713889.0	61871.0	North America
2022-04-10	Bermuda	12711		129.0		12362.0		220.0		205447.0	2085.0	848492.0	13714110.0	61870.0	North America
2022-04-11	Bermuda	12711		129.0		12362.0		220.0		205447.0	2085.0	848492.0	13714110.0	61870.0	North America
2022-04-12	Bermuda	12711		129.0		12362.0		220.0		205450.0	2085.0	848492.0	13714332.0	61869.0	North America
2022-04-13	Bermuda	12711		129.0		12362.0		220.0		205450.0	2085.0	848492.0	13714332.0	61869.0	North America
2022-04-14	Bermuda	12711		129.0		12362.0		220.0		205450.0	2085.0	848492.0	13714332.0	61869.0	North America
