Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Bhutan	29139	1038.0	11.0	1.0	24296.0	500.0	4832.0	18.0	37050.0	14.0	2106290.0	2678123.0	786480.0	Asia
2022-04-03	Bhutan	30053	914.0	12.0	1.0	24746.0	450.0	5295.0	17.0	38211.0	15.0	2111585.0	2684777.0	786503.0	Asia
2022-04-04	Bhutan	31437	1384.0	12.0		25074.0	328.0	6351.0	7.0	39969.0	15.0	2117936.0	2692770.0	786527.0	Asia
2022-04-05	Bhutan	31927	490.0	12.0		25849.0	775.0	6066.0	7.0	40591.0	15.0	2124002.0	2700403.0	786550.0	Asia
2022-04-06	Bhutan	33146	1219.0	12.0		26954.0	1105.0	6180.0	4.0	42140.0	15.0	2130182.0	2708181.0	786573.0	Asia
2022-04-07	Bhutan	35437	2291.0	12.0		28092.0	1138.0	7333.0	4.0	45051.0	15.0	2137515.0	2717424.0	786596.0	Asia
2022-04-08	Bhutan	37049	1612.0	12.0		29128.0	1036.0	7909.0	5.0	47099.0	15.0	2145424.0	2727399.0	786619.0	Asia
2022-04-09	Bhutan	38921	1872.0	13.0	1.0	30039.0	911.0	8869.0	6.0	49477.0	17.0	2154293.0	2738590.0	786643.0	Asia
2022-04-10	Bhutan	40629	1708.0	14.0	1.0	31424.0	1385.0	9191.0	3.0	51647.0	18.0	2163484.0	2750194.0	786666.0	Asia
2022-04-11	Bhutan	42222	1593.0	14.0		31914.0	490.0	10294.0	3.0	53671.0	18.0	2173778.0	2763199.0	786689.0	Asia
2022-04-12	Bhutan	45056	2200.0	14.0		35423.0	2291.0	9619.0	5.0	57271.0	18.0	2193107.0	2787687.0	786712.0	Asia
2022-04-13	Bhutan	47187	2131.0	14.0		37034.0	1611.0	10139.0	7.0	59980.0	18.0	2203246.0	2800575.0	786712.0	Asia
2022-04-14	Bhutan	47187		14.0		37034.0		10139.0	7.0	59980.0	18.0	2203246.0	2800575.0	786712.0	Asia
