Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Bolivia	902135	192.0	21895.0	1.0	838560.0	2049.0	41680.0	220.0	75482.0	1832.0	2682016.0	224404.0	11951714.0	South America
2022-04-03	Bolivia	902316	181.0	21895.0		840120.0	1560.0	40301.0	220.0	75494.0	1832.0	2682016.0	224396.0	11952149.0	South America
2022-04-04	Bolivia	902448	132.0	21896.0	1.0	841533.0	1413.0	39019.0	220.0	75502.0	1832.0	2682016.0	224388.0	11952584.0	South America
2022-04-05	Bolivia	902497	49.0	21896.0		842596.0	1063.0	38005.0	220.0	75504.0	1832.0	2682016.0	224380.0	11953019.0	South America
2022-04-06	Bolivia	902605	108.0	21897.0	1.0	843920.0	1324.0	36788.0	220.0	75510.0	1832.0	2686794.0	224771.0	11953454.0	South America
2022-04-07	Bolivia	902749	144.0	21897.0		845056.0	1136.0	35796.0	220.0	75519.0	1832.0	2686794.0	224763.0	11953890.0	South America
2022-04-08	Bolivia	902920	171.0	21897.0		845896.0	840.0	35127.0	220.0	75531.0	1832.0	2686794.0	224755.0	11954325.0	South America
2022-04-09	Bolivia	903062	142.0	21899.0	2.0	846673.0	777.0	34490.0	220.0	75540.0	1832.0	2686794.0	224747.0	11954760.0	South America
2022-04-10	Bolivia	903244	182.0	21899.0		847518.0	845.0	33827.0	220.0	75552.0	1832.0	2686794.0	224739.0	11955195.0	South America
2022-04-11	Bolivia	903306	62.0	21899.0		848265.0	747.0	33142.0	220.0	75555.0	1832.0	2686794.0	224730.0	11955630.0	South America
2022-04-12	Bolivia	903396	90.0	21899.0		848782.0	517.0	32715.0	220.0	75560.0	1832.0	2688875.0	224896.0	11956065.0	South America
2022-04-13	Bolivia	903477	81.0	21899.0		849431.0	649.0	32147.0	220.0	75566.0	1832.0	2688875.0	224896.0	11956065.0	South America
2022-04-14	Bolivia	903584	107.0	21899.0		850086.0	655.0	31599.0	220.0	75575.0	1832.0	2688875.0	224896.0	11956065.0	South America
