Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Bosnia and Herzegovina	375554	114.0	15718.0	5.0	192218.0		167618.0		115730.0	4844.0	1737191.0	535328.0	3245097.0	Europe
2022-04-03	Bosnia and Herzegovina	375554		15718.0		192218.0		167618.0		115732.0	4844.0	1737191.0	535337.0	3245041.0	Europe
2022-04-04	Bosnia and Herzegovina	375693	139.0	15719.0	1.0	192218.0		167756.0		115776.0	4844.0	1737191.0	535346.0	3244986.0	Europe
2022-04-05	Bosnia and Herzegovina	375735	42.0	15724.0	5.0	192218.0		167793.0		115791.0	4846.0	1739645.0	536112.0	3244930.0	Europe
2022-04-06	Bosnia and Herzegovina	375849	114.0	15727.0	3.0	192218.0		167904.0		115828.0	4847.0	1740582.0	536410.0	3244875.0	Europe
2022-04-07	Bosnia and Herzegovina	375948	99.0	15728.0	1.0	192218.0		168002.0		115861.0	4847.0	1741822.0	536801.0	3244819.0	Europe
2022-04-08	Bosnia and Herzegovina	376028	80.0	15728.0		192218.0		168082.0		115888.0	4847.0	1742774.0	537103.0	3244764.0	Europe
2022-04-09	Bosnia and Herzegovina	376081	53.0	15732.0	4.0	192218.0		168131.0		115906.0	4849.0	1742774.0	537113.0	3244708.0	Europe
2022-04-10	Bosnia and Herzegovina	376081		15732.0		192218.0		168131.0		115908.0	4849.0	1742774.0	537122.0	3244653.0	Europe
2022-04-11	Bosnia and Herzegovina	376081		15732.0		192218.0		168131.0		115910.0	4849.0	1742774.0	537131.0	3244598.0	Europe
2022-04-12	Bosnia and Herzegovina	376198	117.0	15740.0	8.0	192218.0		168240.0		115948.0	4851.0	1744951.0	537811.0	3244542.0	Europe
2022-04-13	Bosnia and Herzegovina	376264	66.0	15742.0	2.0	192218.0		168304.0		115968.0	4852.0	1746113.0	538169.0	3244542.0	Europe
2022-04-14	Bosnia and Herzegovina	376339	75.0	15744.0	2.0	192218.0		168377.0		115991.0	4852.0	1747008.0	538445.0	3244542.0	Europe
