Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Botswana	305526		2686.0		302476.0		364.0	1.0	125488.0	1103.0	2026898.0	832501.0	2434708.0	Africa
2022-04-03	Botswana	305526		2686.0		302476.0		364.0	1.0	125481.0	1103.0	2026898.0	832457.0	2434838.0	Africa
2022-04-04	Botswana	305526		2686.0		302476.0		364.0	1.0	125474.0	1103.0	2026898.0	832413.0	2434968.0	Africa
2022-04-05	Botswana	305526		2686.0		302476.0		364.0	1.0	125468.0	1103.0	2026898.0	832368.0	2435098.0	Africa
2022-04-06	Botswana	305526		2686.0		302476.0		364.0	1.0	125461.0	1103.0	2026898.0	832324.0	2435228.0	Africa
2022-04-07	Botswana	305526		2686.0		302476.0		364.0	1.0	125454.0	1103.0	2026898.0	832279.0	2435358.0	Africa
2022-04-08	Botswana	305526		2686.0		302476.0		364.0	1.0	125448.0	1103.0	2026898.0	832235.0	2435488.0	Africa
2022-04-09	Botswana	305526		2686.0		302476.0		364.0	1.0	125441.0	1103.0	2026898.0	832190.0	2435618.0	Africa
2022-04-10	Botswana	305526		2686.0		302476.0		364.0	1.0	125434.0	1103.0	2026898.0	832146.0	2435748.0	Africa
2022-04-11	Botswana	305526		2686.0		302476.0		364.0	1.0	125427.0	1103.0	2026898.0	832102.0	2435878.0	Africa
2022-04-12	Botswana	305859	333.0	2688.0	2.0	303026.0	550.0	145.0	1.0	125557.0	1103.0	2026898.0	832057.0	2436008.0	Africa
2022-04-13	Botswana	305859		2688.0		303026.0		145.0	1.0	125557.0	1103.0	2026898.0	832057.0	2436008.0	Africa
2022-04-14	Botswana	305859		2688.0		303026.0		145.0	1.0	125557.0	1103.0	2026898.0	832057.0	2436008.0	Africa
