Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	British Virgin Islands	6155	14.0	62.0					1.0	201256.0	2027.0	102012.0	3335579.0	30583.0	North America
2022-04-03	British Virgin Islands	6155		62.0					1.0	201249.0	2027.0	102012.0	3335470.0	30584.0	North America
2022-04-04	British Virgin Islands	6155		62.0					1.0	201249.0	2027.0	102012.0	3335470.0	30584.0	North America
2022-04-05	British Virgin Islands	6155		62.0					1.0	201242.0	2027.0	102012.0	3335360.0	30585.0	North America
2022-04-06	British Virgin Islands	6155		62.0					1.0	201242.0	2027.0	102012.0	3335360.0	30585.0	North America
2022-04-07	British Virgin Islands	6155		62.0					1.0	201236.0	2027.0	102012.0	3335251.0	30586.0	North America
2022-04-08	British Virgin Islands	6162	7.0	62.0					1.0	201458.0	2027.0	102294.0	3344362.0	30587.0	North America
2022-04-09	British Virgin Islands	6162		62.0					1.0	201458.0	2027.0	102294.0	3344362.0	30587.0	North America
2022-04-10	British Virgin Islands	6162		62.0					1.0	201452.0	2027.0	102294.0	3344253.0	30588.0	North America
2022-04-11	British Virgin Islands	6162		62.0					1.0	201452.0	2027.0	102294.0	3344253.0	30588.0	North America
2022-04-12	British Virgin Islands	6162		62.0					1.0	201445.0	2027.0	102294.0	3344143.0	30589.0	North America
2022-04-13	British Virgin Islands	6162		62.0					1.0	201445.0	2027.0	102294.0	3344143.0	30589.0	North America
2022-04-14	British Virgin Islands	6162		62.0					1.0	201445.0	2027.0	102294.0	3344143.0	30589.0	North America
