Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Brunei	134915	503.0	210.0	2.0	130250.0	1020.0	4455.0		303308.0	472.0	717784.0	1613679.0	444812.0	Asia
2022-04-03	Brunei	135430	515.0	213.0	3.0	131097.0	847.0	4120.0		304458.0	479.0	717784.0	1613640.0	444823.0	Asia
2022-04-04	Brunei	135974	544.0	213.0		131984.0	887.0	3777.0		305673.0	479.0	717784.0	1613596.0	444835.0	Asia
2022-04-05	Brunei	136374	400.0	213.0		132721.0	737.0	3440.0		306565.0	479.0	717784.0	1613556.0	444846.0	Asia
2022-04-06	Brunei	136821	447.0	214.0	1.0	133494.0	773.0	3113.0		307561.0	481.0	717784.0	1613513.0	444858.0	Asia
2022-04-07	Brunei	137239	418.0	214.0		134109.0	615.0	2916.0		308493.0	481.0	717784.0	1613473.0	444869.0	Asia
2022-04-08	Brunei	137585	346.0	214.0		134632.0	523.0	2739.0		309263.0	481.0	717784.0	1613433.0	444880.0	Asia
2022-04-09	Brunei	137947	362.0	214.0		135209.0	577.0	2524.0		310069.0	481.0	717784.0	1613389.0	444892.0	Asia
2022-04-10	Brunei	138261	314.0	215.0	1.0	135735.0	526.0	2311.0		310767.0	483.0	717784.0	1613349.0	444903.0	Asia
2022-04-11	Brunei	138530	269.0	215.0		136073.0	338.0	2242.0		311363.0	483.0	717784.0	1613306.0	444915.0	Asia
2022-04-12	Brunei	139061	250.0	216.0	1.0	136313.0	130.0	2532.0		312549.0	485.0	717784.0	1613266.0	444926.0	Asia
2022-04-13	Brunei	139278	217.0	216.0		136663.0	350.0	2399.0		313036.0	485.0	717784.0	1613266.0	444926.0	Asia
2022-04-14	Brunei	139278		216.0		136663.0		2399.0	1.0	313036.0	485.0	717784.0	1613266.0	444926.0	Asia
