Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Bulgaria	1139956	1033.0	36554.0	25.0	925800.0	3291.0	177602.0	216.0	166250.0	5331.0	9615656.0	1402336.0	6856886.0	Europe
2022-04-03	Bulgaria	1140453	497.0	36565.0	11.0	926273.0	473.0	177615.0	205.0	166326.0	5333.0	9623228.0	1403469.0	6856744.0	Europe
2022-04-04	Bulgaria	1140679	226.0	36568.0	3.0	926649.0	376.0	177462.0	206.0	166362.0	5333.0	9627296.0	1404091.0	6856602.0	Europe
2022-04-05	Bulgaria	1141859	1180.0	36608.0	40.0	931682.0	5033.0	173569.0	190.0	166538.0	5339.0	9639627.0	1405919.0	6856460.0	Europe
2022-04-06	Bulgaria	1142698	839.0	36636.0	28.0	933840.0	2158.0	172222.0	174.0	166664.0	5343.0	9650834.0	1407583.0	6856318.0	Europe
2022-04-07	Bulgaria	1143424	726.0	36655.0	19.0	935130.0	1290.0	171639.0	165.0	166773.0	5346.0	9661189.0	1409122.0	6856175.0	Europe
2022-04-08	Bulgaria	1144107	683.0	36672.0	17.0	937551.0	2421.0	169884.0	156.0	166876.0	5349.0	9671105.0	1410598.0	6856033.0	Europe
2022-04-09	Bulgaria	1144822	715.0	36685.0	13.0	938720.0	1169.0	169417.0	144.0	166984.0	5351.0	9682336.0	1412265.0	6855891.0	Europe
2022-04-10	Bulgaria	1145143	321.0	36692.0	7.0	938827.0	107.0	169624.0	141.0	167034.0	5352.0	9687969.0	1413116.0	6855749.0	Europe
2022-04-11	Bulgaria	1145408	265.0	36700.0	8.0	939051.0	224.0	169657.0	136.0	167076.0	5353.0	9692112.0	1413750.0	6855607.0	Europe
2022-04-12	Bulgaria	1146279	871.0	36730.0	30.0	941685.0	2634.0	167864.0	134.0	167207.0	5358.0	9702164.0	1415245.0	6855465.0	Europe
2022-04-13	Bulgaria	1147165	886.0	36740.0	10.0	943649.0	1964.0	166776.0	126.0	167336.0	5359.0	9715339.0	1417167.0	6855465.0	Europe
2022-04-14	Bulgaria	1147812	647.0	36756.0	16.0	944639.0	990.0	166417.0	131.0	167430.0	5362.0	9724468.0	1418499.0	6855465.0	Europe
