Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Burundi	38509	19.0	38.0		773.0		37698.0		3078.0	3.0	345742.0	27637.0	12510155.0	Africa
2022-04-03	Burundi	38519	10.0	38.0		773.0		37708.0		3079.0	3.0	345742.0	27635.0	12511127.0	Africa
2022-04-04	Burundi	38519		38.0		773.0		37708.0		3079.0	3.0	345742.0	27633.0	12512099.0	Africa
2022-04-05	Burundi	38575	56.0	38.0		773.0		37764.0		3083.0	3.0	345742.0	27630.0	12513070.0	Africa
2022-04-06	Burundi	38588	13.0	38.0		773.0		37777.0		3084.0	3.0	345742.0	27628.0	12514042.0	Africa
2022-04-07	Burundi	38588		38.0		773.0		37777.0		3083.0	3.0	345742.0	27626.0	12515014.0	Africa
2022-04-08	Burundi	38609	21.0	38.0		773.0		37798.0		3085.0	3.0	345742.0	27624.0	12515986.0	Africa
2022-04-09	Burundi	38663	54.0	38.0		773.0		37852.0		3089.0	3.0	345742.0	27622.0	12516958.0	Africa
2022-04-10	Burundi	38663		38.0		773.0		37852.0		3089.0	3.0	345742.0	27620.0	12517929.0	Africa
2022-04-11	Burundi	38665	2.0	38.0		773.0		37854.0		3089.0	3.0	345742.0	27618.0	12518901.0	Africa
2022-04-12	Burundi	38698	33.0	38.0		773.0		37887.0		3091.0	3.0	345742.0	27615.0	12519873.0	Africa
2022-04-13	Burundi	38698		38.0		773.0		37887.0		3091.0	3.0	345742.0	27615.0	12519873.0	Africa
2022-04-14	Burundi	38698		38.0		773.0		37887.0		3091.0	3.0	345742.0	27615.0	12519873.0	Africa
