Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	CAR	14649		113.0		6859.0		7677.0	2.0	2944.0	23.0	81294.0	16335.0	4976719.0	Africa
2022-04-03	CAR	14649		113.0		6859.0		7677.0	2.0	2943.0	23.0	81294.0	16334.0	4976948.0	Africa
2022-04-04	CAR	14649		113.0		6859.0		7677.0	2.0	2943.0	23.0	81294.0	16333.0	4977178.0	Africa
2022-04-05	CAR	14649		113.0		6859.0		7677.0	2.0	2943.0	23.0	81294.0	16333.0	4977408.0	Africa
2022-04-06	CAR	14649		113.0		6859.0		7677.0	2.0	2943.0	23.0	81294.0	16332.0	4977637.0	Africa
2022-04-07	CAR	14649		113.0		6859.0		7677.0	2.0	2943.0	23.0	81294.0	16331.0	4977867.0	Africa
2022-04-08	CAR	14649		113.0		6859.0		7677.0	2.0	2943.0	23.0	81294.0	16330.0	4978097.0	Africa
2022-04-09	CAR	14649		113.0		6859.0		7677.0	2.0	2943.0	23.0	81294.0	16330.0	4978326.0	Africa
2022-04-10	CAR	14649		113.0		6859.0		7677.0	2.0	2942.0	23.0	81294.0	16329.0	4978556.0	Africa
2022-04-11	CAR	14649		113.0		6859.0		7677.0	2.0	2942.0	23.0	81294.0	16328.0	4978786.0	Africa
2022-04-12	CAR	14649		113.0		6859.0		7677.0	2.0	2942.0	23.0	81294.0	16327.0	4979016.0	Africa
2022-04-13	CAR	14649		113.0		6859.0		7677.0	2.0	2942.0	23.0	81294.0	16327.0	4979016.0	Africa
2022-04-14	CAR	14649		113.0		6859.0		7677.0	2.0	2942.0	23.0	81294.0	16327.0	4979016.0	Africa
