Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Cabo Verde	55957	5.0	401.0		55493.0		63.0	23.0	98767.0	708.0	400982.0	707752.0	566557.0	Africa
2022-04-03	Cabo Verde	55958	1.0	401.0		55493.0		64.0	23.0	98766.0	708.0	400982.0	707731.0	566574.0	Africa
2022-04-04	Cabo Verde	55960	2.0	401.0		55495.0	2.0	64.0	23.0	98766.0	708.0	400982.0	707711.0	566590.0	Africa
2022-04-05	Cabo Verde	55961	1.0	401.0		55496.0	1.0	64.0	23.0	98765.0	708.0	400982.0	707690.0	566607.0	Africa
2022-04-06	Cabo Verde	55961		401.0		55499.0	3.0	61.0	23.0	98762.0	708.0	400982.0	707670.0	566623.0	Africa
2022-04-07	Cabo Verde	55963	2.0	401.0		55499.0		63.0	23.0	98763.0	708.0	400982.0	707649.0	566640.0	Africa
2022-04-08	Cabo Verde	55963		401.0		55499.0		63.0	23.0	98760.0	708.0	400982.0	707629.0	566656.0	Africa
2022-04-09	Cabo Verde	55970	7.0	401.0		55501.0	2.0	68.0	23.0	98769.0	708.0	400982.0	707607.0	566673.0	Africa
2022-04-10	Cabo Verde	55971	1.0	401.0		55503.0	2.0	67.0	23.0	98768.0	708.0	400982.0	707587.0	566689.0	Africa
2022-04-11	Cabo Verde	55972	1.0	401.0		55504.0	1.0	67.0	23.0	98767.0	708.0	400982.0	707566.0	566706.0	Africa
2022-04-12	Cabo Verde	55974	1.0	401.0		55512.0	2.0	61.0	23.0	98768.0	708.0	400982.0	707546.0	566722.0	Africa
2022-04-13	Cabo Verde	55978	4.0	401.0		55514.0	2.0	63.0	23.0	98775.0	708.0	400982.0	707546.0	566722.0	Africa
2022-04-14	Cabo Verde	55978		401.0		55514.0		63.0	23.0	98775.0	708.0	400982.0	707546.0	566722.0	Africa
