Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Cambodia	135682	57.0	3054.0		131808.0	102.0	820.0		7924.0	178.0	2928118.0	170996.0	17123941.0	Asia
2022-04-03	Cambodia	135714	32.0	3054.0		131940.0	132.0	720.0		7925.0	178.0	2928118.0	170989.0	17124574.0	Asia
2022-04-04	Cambodia	135747	33.0	3054.0		132068.0	128.0	625.0		7927.0	178.0	2930355.0	171114.0	17125206.0	Asia
2022-04-05	Cambodia	135782	35.0	3054.0		132201.0	133.0	527.0		7928.0	178.0	2930355.0	171107.0	17125838.0	Asia
2022-04-06	Cambodia	135812	30.0	3055.0	1.0	132328.0	127.0	429.0		7930.0	178.0	2932388.0	171220.0	17126471.0	Asia
2022-04-07	Cambodia	135834	22.0	3055.0		132449.0	121.0	330.0		7931.0	178.0	2933389.0	171272.0	17127103.0	Asia
2022-04-08	Cambodia	135861	27.0	3055.0		132517.0	68.0	289.0		7932.0	178.0	2934903.0	171354.0	17127735.0	Asia
2022-04-09	Cambodia	135889	28.0	3055.0		132569.0	52.0	265.0		7934.0	178.0	2936343.0	171432.0	17128368.0	Asia
2022-04-10	Cambodia	135914	25.0	3055.0		132596.0	27.0	263.0		7935.0	178.0	2937207.0	171476.0	17129000.0	Asia
2022-04-11	Cambodia	135947	33.0	3055.0		132618.0	22.0	274.0		7936.0	178.0	2938205.0	171528.0	17129632.0	Asia
2022-04-12	Cambodia	135980	17.0	3055.0		132666.0	27.0	259.0		7938.0	178.0	2939061.0	171571.0	17130265.0	Asia
2022-04-13	Cambodia	135998	18.0	3055.0		132689.0	23.0	254.0		7939.0	178.0	2939061.0	171571.0	17130265.0	Asia
2022-04-14	Cambodia	135998		3055.0		132689.0		254.0		7939.0	178.0	2939061.0	171571.0	17130265.0	Asia
