Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Cameroon	119544		1927.0		117455.0		162.0	13.0	4315.0	70.0	1751774.0	63237.0	27701805.0	Africa
2022-04-03	Cameroon	119544		1927.0		117455.0		162.0	13.0	4315.0	70.0	1751774.0	63233.0	27703616.0	Africa
2022-04-04	Cameroon	119544		1927.0		117455.0		162.0	13.0	4315.0	70.0	1751774.0	63229.0	27705427.0	Africa
2022-04-05	Cameroon	119544		1927.0		117455.0		162.0	13.0	4315.0	70.0	1751774.0	63224.0	27707238.0	Africa
2022-04-06	Cameroon	119544		1927.0		117455.0		162.0	13.0	4314.0	70.0	1751774.0	63220.0	27709049.0	Africa
2022-04-07	Cameroon	119544		1927.0		117455.0		162.0	13.0	4314.0	70.0	1751774.0	63216.0	27710859.0	Africa
2022-04-08	Cameroon	119780	236.0	1927.0		117791.0	336.0	62.0	13.0	4322.0	70.0	1751774.0	63212.0	27712670.0	Africa
2022-04-09	Cameroon	119780		1927.0		117791.0		62.0	13.0	4322.0	70.0	1751774.0	63208.0	27714481.0	Africa
2022-04-10	Cameroon	119780		1927.0		117791.0		62.0	13.0	4322.0	70.0	1751774.0	63204.0	27716292.0	Africa
2022-04-11	Cameroon	119780		1927.0		117791.0		62.0	13.0	4321.0	70.0	1751774.0	63200.0	27718103.0	Africa
2022-04-12	Cameroon	119780		1927.0		117791.0		62.0	13.0	4321.0	70.0	1751774.0	63196.0	27719914.0	Africa
2022-04-13	Cameroon	119780		1927.0		117791.0		62.0	13.0	4321.0	70.0	1751774.0	63196.0	27719914.0	Africa
2022-04-14	Cameroon	119780		1927.0		117791.0		62.0	13.0	4321.0	70.0	1751774.0	63196.0	27719914.0	Africa
