Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Chad	7308		191.0		4874.0		2243.0		424.0	11.0	191341.0	11092.0	17250246.0	Africa
2022-04-03	Chad	7308		191.0		4874.0		2243.0		424.0	11.0	191341.0	11091.0	17251539.0	Africa
2022-04-04	Chad	7308		191.0		4874.0		2243.0		424.0	11.0	191341.0	11090.0	17252832.0	Africa
2022-04-05	Chad	7347	39.0	192.0	1.0	4874.0		2281.0		426.0	11.0	191341.0	11090.0	17254125.0	Africa
2022-04-06	Chad	7347		192.0		4874.0		2281.0		426.0	11.0	191341.0	11089.0	17255418.0	Africa
2022-04-07	Chad	7347		192.0		4874.0		2281.0		426.0	11.0	191341.0	11088.0	17256711.0	Africa
2022-04-08	Chad	7347		192.0		4874.0		2281.0		426.0	11.0	191341.0	11087.0	17258004.0	Africa
2022-04-09	Chad	7347		192.0		4874.0		2281.0		426.0	11.0	191341.0	11086.0	17259297.0	Africa
2022-04-10	Chad	7347		192.0		4874.0		2281.0		426.0	11.0	191341.0	11085.0	17260590.0	Africa
2022-04-11	Chad	7347		192.0		4874.0		2281.0		426.0	11.0	191341.0	11085.0	17261883.0	Africa
2022-04-12	Chad	7378		192.0		4874.0		2312.0		427.0	11.0	191341.0	11084.0	17263176.0	Africa
2022-04-13	Chad	7378		192.0		4874.0		2312.0		427.0	11.0	191341.0	11084.0	17263176.0	Africa
2022-04-14	Chad	7378		192.0		4874.0		2312.0		427.0	11.0	191341.0	11084.0	17263176.0	Africa
