Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Channel Islands	69036	183.0	156.0		64656.0	311.0	4224.0		390767.0	883.0	1244612.0	7044920.0	176668.0	Europe
2022-04-03	Channel Islands	69036		156.0		64656.0		4224.0		390756.0	883.0	1244612.0	7044721.0	176673.0	Europe
2022-04-04	Channel Islands	69036		156.0		64656.0		4224.0		390747.0	883.0	1244612.0	7044562.0	176677.0	Europe
2022-04-05	Channel Islands	69413	377.0	156.0		65420.0	764.0	3837.0		392872.0	883.0	1245674.0	7050413.0	176681.0	Europe
2022-04-06	Channel Islands	69624	211.0	156.0		67712.0	2292.0	1756.0		394055.0	883.0	1247374.0	7059835.0	176686.0	Europe
2022-04-07	Channel Islands	69818	194.0	157.0	1.0	68014.0	302.0	1647.0		395144.0	889.0	1248014.0	7063297.0	176690.0	Europe
2022-04-08	Channel Islands	70003	185.0	157.0		68228.0	214.0	1618.0		396182.0	889.0	1248431.0	7065497.0	176694.0	Europe
2022-04-09	Channel Islands	70138	135.0	157.0		68420.0	192.0	1561.0		396935.0	889.0	1249036.0	7068721.0	176699.0	Europe
2022-04-10	Channel Islands	70138		157.0		68420.0		1561.0		396926.0	888.0	1249036.0	7068561.0	176703.0	Europe
2022-04-11	Channel Islands	70138		157.0		68420.0		1561.0		396915.0	888.0	1249036.0	7068361.0	176708.0	Europe
2022-04-12	Channel Islands	70419	281.0	157.0		68940.0	520.0	1322.0		398496.0	888.0	1250105.0	7074251.0	176712.0	Europe
2022-04-13	Channel Islands	71989	1570.0	164.0	7.0	69939.0	999.0	1886.0		407380.0	928.0	1251599.0	7082705.0	176712.0	Europe
2022-04-14	Channel Islands	72213	224.0	164.0		70116.0	177.0	1933.0		408648.0	928.0	1252269.0	7086497.0	176712.0	Europe
