Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Colombia	6085270	354.0	139636.0	15.0	5918331.0	422.0	27303.0	342.0	117403.0	2694.0	33942728.0	654858.0	51832231.0	South America
2022-04-03	Colombia	6085618	348.0	139650.0	14.0	5918689.0	358.0	27279.0	342.0	117407.0	2694.0	33952707.0	655031.0	51833712.0	South America
2022-04-04	Colombia	6085926	308.0	139660.0	10.0	5919072.0	383.0	27194.0	342.0	117409.0	2694.0	33971965.0	655384.0	51835193.0	South America
2022-04-05	Colombia	6086233	307.0	139670.0	10.0	5919385.0	313.0	27178.0	342.0	117412.0	2694.0	33992556.0	655763.0	51836674.0	South America
2022-04-06	Colombia	6086484	251.0	139678.0	8.0	5919709.0	324.0	27097.0	342.0	117413.0	2695.0	34019306.0	656260.0	51838155.0	South America
2022-04-07	Colombia	6086811	327.0	139687.0	9.0	5919925.0	216.0	27199.0	342.0	117416.0	2695.0	34048606.0	656806.0	51839636.0	South America
2022-04-08	Colombia	6087123	312.0	139693.0	6.0	5920229.0	304.0	27201.0	342.0	117419.0	2695.0	34074406.0	657285.0	51841117.0	South America
2022-04-09	Colombia	6087443	320.0	139703.0	10.0	5920596.0	367.0	27144.0	342.0	117422.0	2695.0	34099595.0	657752.0	51842598.0	South America
2022-04-10	Colombia	6087737	294.0	139713.0	10.0	5920900.0	304.0	27124.0	342.0	117424.0	2695.0	34113190.0	657996.0	51844079.0	South America
2022-04-11	Colombia	6088034	297.0	139719.0	6.0	5921185.0	285.0	27130.0	342.0	117426.0	2695.0	34135355.0	658405.0	51845560.0	South America
2022-04-12	Colombia	6088335	301.0	139725.0	6.0	5921483.0	298.0	27127.0	342.0	117429.0	2695.0	34157845.0	658820.0	51847041.0	South America
2022-04-13	Colombia	6088619	284.0	139729.0	4.0	5921750.0	267.0	27140.0	342.0	117434.0	2695.0	34183285.0	659310.0	51847041.0	South America
2022-04-14	Colombia	6088912	293.0	139734.0	5.0	5921849.0	99.0	27329.0	342.0	117440.0	2695.0	34204521.0	659720.0	51847041.0	South America
