Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Congo	24071		385.0		20178.0		3508.0		4182.0	67.0	347815.0	60430.0	5755689.0	Africa
2022-04-03	Congo	24071		385.0		20178.0		3508.0		4182.0	67.0	347815.0	60426.0	5756061.0	Africa
2022-04-04	Congo	24071		385.0		20178.0		3508.0		4182.0	67.0	347815.0	60422.0	5756433.0	Africa
2022-04-05	Congo	24071		385.0		20178.0		3508.0		4181.0	67.0	347815.0	60418.0	5756805.0	Africa
2022-04-06	Congo	24079	8.0	385.0		20178.0		3516.0		4182.0	67.0	347815.0	60414.0	5757178.0	Africa
2022-04-07	Congo	24079		385.0		20178.0		3516.0		4182.0	67.0	347815.0	60410.0	5757550.0	Africa
2022-04-08	Congo	24079		385.0		20178.0		3516.0		4182.0	67.0	347815.0	60406.0	5757922.0	Africa
2022-04-09	Congo	24079		385.0		20178.0		3516.0		4182.0	67.0	347815.0	60402.0	5758294.0	Africa
2022-04-10	Congo	24079		385.0		20178.0		3516.0		4181.0	67.0	347815.0	60399.0	5758666.0	Africa
2022-04-11	Congo	24079		385.0		20178.0		3516.0		4181.0	67.0	347815.0	60395.0	5759039.0	Africa
2022-04-12	Congo	24079		385.0		20178.0		3516.0		4181.0	67.0	347815.0	60391.0	5759411.0	Africa
2022-04-13	Congo	24079		385.0		20178.0		3516.0		4181.0	67.0	347815.0	60391.0	5759411.0	Africa
2022-04-14	Congo	24079		385.0		20178.0		3516.0		4181.0	67.0	347815.0	60391.0	5759411.0	Africa
