Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Costa Rica	839368	831.0	8308.0	8.0	815710.0	1903.0	15350.0	57.0	162180.0	1605.0	4053111.0	783127.0	5175547.0	North America
2022-04-03	Costa Rica	839368		8308.0		815710.0		15350.0	57.0	162176.0	1605.0	4053111.0	783108.0	5175674.0	North America
2022-04-04	Costa Rica	840383	368.0	8316.0	3.0	817646.0	956.0	14421.0	57.0	162368.0	1607.0	4053111.0	783089.0	5175801.0	North America
2022-04-05	Costa Rica	840658	275.0	8320.0	4.0	818430.0	784.0	13908.0	57.0	162417.0	1607.0	4053111.0	783069.0	5175928.0	North America
2022-04-06	Costa Rica	841343	685.0	8327.0	7.0	820853.0	2423.0	12163.0	63.0	162545.0	1609.0	4136613.0	799183.0	5176055.0	North America
2022-04-07	Costa Rica	841343		8327.0		820853.0		12163.0	63.0	162541.0	1609.0	4136613.0	799163.0	5176182.0	North America
2022-04-08	Costa Rica	841343		8327.0		820853.0		12163.0	63.0	162537.0	1609.0	4136613.0	799143.0	5176309.0	North America
2022-04-09	Costa Rica	841343		8327.0		820853.0		12163.0	63.0	162533.0	1609.0	4136613.0	799124.0	5176436.0	North America
2022-04-10	Costa Rica	841343		8327.0		820853.0		12163.0	63.0	162529.0	1609.0	4136613.0	799104.0	5176563.0	North America
2022-04-11	Costa Rica	841343		8327.0		820853.0		12163.0	63.0	162525.0	1609.0	4136613.0	799085.0	5176690.0	North America
2022-04-12	Costa Rica	844604	289.0	8356.0	4.0	825333.0	708.0	10915.0	63.0	163151.0	1614.0	4136613.0	799065.0	5176817.0	North America
2022-04-13	Costa Rica	844892	288.0	8357.0	1.0	825599.0	266.0	10936.0	44.0	163207.0	1614.0	4163300.0	804220.0	5176817.0	North America
2022-04-14	Costa Rica	844892		8357.0		825599.0		10936.0	44.0	163207.0	1614.0	4163300.0	804220.0	5176817.0	North America
