Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Croatia	1100618	1442.0	15584.0	9.0	1075058.0	1485.0	9976.0	40.0	271025.0	3838.0	4683210.0	1153230.0	4060951.0	Europe
2022-04-03	Croatia	1101921	1303.0	15592.0	8.0	1076626.0	1568.0	9703.0	40.0	271350.0	3840.0	4687818.0	1154384.0	4060882.0	Europe
2022-04-04	Croatia	1102730	809.0	15601.0	9.0	1078183.0	1557.0	8946.0	38.0	271554.0	3842.0	4691685.0	1155356.0	4060813.0	Europe
2022-04-05	Croatia	1102827	97.0	15619.0	18.0	1079582.0	1399.0	7626.0	36.0	271582.0	3846.0	4692868.0	1155667.0	4060744.0	Europe
2022-04-06	Croatia	1103662	835.0	15634.0	15.0	1080707.0	1125.0	7321.0	34.0	271793.0	3850.0	4698129.0	1156982.0	4060676.0	Europe
2022-04-07	Croatia	1105315	1653.0	15646.0	12.0	1081347.0	640.0	8322.0	26.0	272204.0	3853.0	4704031.0	1158455.0	4060607.0	Europe
2022-04-08	Croatia	1106557	1242.0	15652.0	6.0	1082264.0	917.0	8641.0	25.0	272515.0	3855.0	4709395.0	1159796.0	4060538.0	Europe
2022-04-09	Croatia	1107648	1091.0	15660.0	8.0	1083948.0	1684.0	8040.0	28.0	272788.0	3857.0	4713967.0	1160942.0	4060469.0	Europe
2022-04-10	Croatia	1108551	903.0	15675.0	15.0	1085430.0	1482.0	7446.0	28.0	273015.0	3860.0	4717894.0	1161928.0	4060400.0	Europe
2022-04-11	Croatia	1109066	515.0	15685.0	10.0	1086643.0	1213.0	6738.0	28.0	273147.0	3863.0	4721021.0	1162718.0	4060332.0	Europe
2022-04-12	Croatia	1109847	699.0	15702.0	8.0	1088816.0	954.0	5329.0	26.0	273344.0	3867.0	4727103.0	1164236.0	4060263.0	Europe
2022-04-13	Croatia	1110989	1142.0	15707.0	5.0	1089283.0	467.0	5999.0	27.0	273625.0	3868.0	4731537.0	1165328.0	4060263.0	Europe
2022-04-14	Croatia	1110989		15707.0		1089283.0		5999.0	27.0	273625.0	3868.0	4731537.0	1165328.0	4060263.0	Europe
