Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Cuba	1091063	778.0	8510.0		1078875.0	774.0	3678.0	23.0	96430.0	752.0	12920253.0	1141919.0	11314513.0	North America
2022-04-03	Cuba	1091852	789.0	8512.0	2.0	1079725.0	850.0	3615.0	23.0	96500.0	752.0	12920253.0	1141921.0	11314494.0	North America
2022-04-04	Cuba	1092547	695.0	8514.0	2.0	1080374.0	649.0	3659.0	23.0	96562.0	752.0	12920253.0	1141922.0	11314475.0	North America
2022-04-05	Cuba	1093166	619.0	8515.0	1.0	1081109.0	735.0	3542.0	23.0	96617.0	753.0	12920253.0	1141924.0	11314457.0	North America
2022-04-06	Cuba	1093676	510.0	8516.0	1.0	1081969.0	860.0	3191.0	23.0	96662.0	753.0	12920253.0	1141926.0	11314438.0	North America
2022-04-07	Cuba	1094352	676.0	8517.0	1.0	1082783.0	814.0	3052.0	23.0	96722.0	753.0	12920253.0	1141928.0	11314419.0	North America
2022-04-08	Cuba	1095006	654.0	8517.0		1083597.0	814.0	2892.0	23.0	96780.0	753.0	12920253.0	1141930.0	11314400.0	North America
2022-04-09	Cuba	1095625	619.0	8517.0		1084204.0	607.0	2904.0	23.0	96835.0	753.0	12920253.0	1141932.0	11314381.0	North America
2022-04-10	Cuba	1096234	609.0	8517.0		1084906.0	702.0	2811.0	23.0	96889.0	753.0	12920253.0	1141934.0	11314363.0	North America
2022-04-11	Cuba	1096837	603.0	8518.0	1.0	1085490.0	584.0	2829.0	23.0	96942.0	753.0	12920253.0	1141936.0	11314344.0	North America
2022-04-12	Cuba	1097333	496.0	8519.0	1.0	1086086.0	596.0	2728.0	23.0	96986.0	753.0	12920253.0	1141938.0	11314325.0	North America
2022-04-13	Cuba	1097675	342.0	8519.0		1086730.0	644.0	2426.0	23.0	97016.0	753.0	12920253.0	1141938.0	11314325.0	North America
2022-04-14	Cuba	1098114	439.0	8519.0		1087352.0	622.0	2243.0	23.0	97055.0	753.0	12920253.0	1141938.0	11314325.0	North America
