Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Curaçao	40671	454.0	267.0		39858.0	405.0	546.0	3.0	246091.0	1616.0	494095.0	2989659.0	165268.0	North America
2022-04-03	Curaçao	40671		267.0		39858.0		546.0	3.0	246088.0	1616.0	494095.0	2989623.0	165270.0	North America
2022-04-04	Curaçao	40671		267.0		39858.0		546.0	3.0	246087.0	1616.0	494095.0	2989605.0	165271.0	North America
2022-04-05	Curaçao	40671		267.0		39858.0		546.0	3.0	246084.0	1616.0	494095.0	2989569.0	165273.0	North America
2022-04-06	Curaçao	40671		267.0		39858.0		546.0	3.0	246081.0	1615.0	494095.0	2989533.0	165275.0	North America
2022-04-07	Curaçao	40671		267.0		39858.0		546.0	3.0	246078.0	1615.0	494095.0	2989496.0	165277.0	North America
2022-04-08	Curaçao	40671		267.0		39858.0		546.0	3.0	246075.0	1615.0	494095.0	2989460.0	165279.0	North America
2022-04-09	Curaçao	41153	482.0	270.0	3.0	40306.0	448.0	577.0	3.0	248988.0	1634.0	494095.0	2989424.0	165281.0	North America
2022-04-10	Curaçao	41153		270.0		40306.0		577.0	3.0	248987.0	1634.0	494095.0	2989406.0	165282.0	North America
2022-04-11	Curaçao	41153		270.0		40306.0		577.0	3.0	248984.0	1634.0	494095.0	2989370.0	165284.0	North America
2022-04-12	Curaçao	41153		270.0		40306.0		577.0	3.0	248981.0	1634.0	494095.0	2989334.0	165286.0	North America
2022-04-13	Curaçao	41153		270.0		40306.0		577.0	3.0	248981.0	1634.0	494095.0	2989334.0	165286.0	North America
2022-04-14	Curaçao	41153		270.0		40306.0		577.0	3.0	248981.0	1634.0	494095.0	2989334.0	165286.0	North America
