Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Cyprus	433217	2491.0	942.0	2.0	124370.0		307905.0	60.0	354299.0	770.0	9477138.0	7750707.0	1222745.0	Asia
2022-04-03	Cyprus	437111	3894.0	945.0	3.0	124370.0		311796.0	60.0	357476.0	773.0	9477138.0	7750555.0	1222769.0	Asia
2022-04-04	Cyprus	439964	2853.0	947.0	2.0	124370.0		314647.0	60.0	359803.0	774.0	9477138.0	7750403.0	1222793.0	Asia
2022-04-05	Cyprus	444174	4210.0	951.0	4.0	124370.0		318853.0	60.0	363238.0	778.0	9477138.0	7750250.0	1222817.0	Asia
2022-04-06	Cyprus	447161	2987.0	954.0	3.0	124370.0		321837.0	60.0	365674.0	780.0	9477138.0	7750098.0	1222841.0	Asia
2022-04-07	Cyprus	449877	2716.0	955.0	1.0	124370.0		324552.0	60.0	367888.0	781.0	9477138.0	7749946.0	1222865.0	Asia
2022-04-08	Cyprus	452334	2457.0	957.0	2.0	124370.0		327007.0	60.0	369890.0	783.0	9477138.0	7749794.0	1222889.0	Asia
2022-04-09	Cyprus	454362	2028.0	979.0	22.0	124370.0		329013.0	60.0	371541.0	801.0	9477138.0	7749642.0	1222913.0	Asia
2022-04-10	Cyprus	456126	1764.0	980.0	1.0	124370.0		330776.0	60.0	372976.0	801.0	9477138.0	7749490.0	1222937.0	Asia
2022-04-11	Cyprus	457585	1459.0	982.0	2.0	124370.0		332233.0	60.0	374162.0	803.0	9477138.0	7749338.0	1222961.0	Asia
2022-04-12	Cyprus	459839	2254.0	985.0	3.0	124370.0		334484.0	60.0	375997.0	805.0	9477138.0	7749186.0	1222985.0	Asia
2022-04-13	Cyprus	461531	1692.0	987.0	2.0	124370.0		336174.0	60.0	377381.0	807.0	9477138.0	7749186.0	1222985.0	Asia
2022-04-14	Cyprus	462945	1414.0	989.0	2.0	124370.0		337586.0	60.0	378537.0	809.0	9477138.0	7749186.0	1222985.0	Asia
