Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Czechia	3822061	6484.0	39701.0	15.0	3716646.0	12672.0	65714.0	90.0	355747.0	3695.0	54710794.0	5092331.0	10743762.0	Europe
2022-04-03	Czechia	3828041	5971.0	39709.0	7.0	3725398.0	8798.0	62934.0	89.0	356302.0	3696.0	54739639.0	5094990.0	10743816.0	Europe
2022-04-04	Czechia	3830658	2590.0	39732.0	19.0	3733551.0	8241.0	57375.0	92.0	356544.0	3698.0	54752294.0	5096143.0	10743870.0	Europe
2022-04-05	Czechia	3832337	1657.0	39754.0	15.0	3740553.0	7095.0	52030.0	89.0	356698.0	3700.0	54762277.0	5097046.0	10743924.0	Europe
2022-04-06	Czechia	3838914	6553.0	39781.0	24.0	3747652.0	7180.0	51481.0	92.0	357308.0	3703.0	54790753.0	5099671.0	10743978.0	Europe
2022-04-07	Czechia	3845630	6701.0	39810.0	26.0	3750407.0	2862.0	55413.0	109.0	357932.0	3705.0	54821103.0	5102470.0	10744033.0	Europe
2022-04-08	Czechia	3850935	5287.0	39839.0	26.0	3753150.0	2884.0	57946.0	96.0	358424.0	3708.0	54847071.0	5104861.0	10744087.0	Europe
2022-04-09	Czechia	3855938	4979.0	39862.0	23.0	3764033.0	10946.0	52043.0	92.0	358888.0	3710.0	54871748.0	5107132.0	10744141.0	Europe
2022-04-10	Czechia	3860071	4133.0	39877.0	15.0	3771785.0	7752.0	48409.0	91.0	359270.0	3711.0	54893226.0	5109106.0	10744195.0	Europe
2022-04-11	Czechia	3862336	2250.0	39900.0	17.0	3778722.0	7116.0	43714.0	80.0	359479.0	3714.0	54905349.0	5110208.0	10744249.0	Europe
2022-04-12	Czechia	3868488	4735.0	39930.0	14.0	3790372.0	5696.0	38186.0	70.0	360050.0	3716.0	54938558.0	5113273.0	10744303.0	Europe
2022-04-13	Czechia	3872522	4034.0	39933.0	3.0	3792591.0	2219.0	39998.0	69.0	360426.0	3717.0	54962034.0	5115458.0	10744303.0	Europe
2022-04-14	Czechia	3872522		39933.0		3792591.0		39998.0	69.0	360426.0	3717.0	54962034.0	5115458.0	10744303.0	Europe
