Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Denmark	2914779	2862.0	5723.0	25.0	2844472.0	6779.0	64584.0	22.0	500141.0	982.0	126809247.0	21758954.0	5827911.0	Europe
2022-04-03	Denmark	2917473	2694.0	5745.0	22.0	2850459.0	5987.0	61269.0	22.0	500599.0	986.0	126829775.0	21762271.0	5827966.0	Europe
2022-04-04	Denmark	2919428	1955.0	5762.0	17.0	2855172.0	4713.0	58494.0	22.0	500929.0	989.0	126843098.0	21764348.0	5828022.0	Europe
2022-04-05	Denmark	2921576	2148.0	5777.0	15.0	2860123.0	4951.0	55676.0	18.0	501293.0	991.0	126857323.0	21766579.0	5828078.0	Europe
2022-04-06	Denmark	2924746	3170.0	5798.0	21.0	2867100.0	6977.0	51848.0	19.0	501832.0	995.0	126879654.0	21770206.0	5828133.0	Europe
2022-04-07	Denmark	2927746	3000.0	5813.0	15.0	2873033.0	5933.0	48900.0	16.0	502342.0	997.0	126901505.0	21773746.0	5828189.0	Europe
2022-04-08	Denmark	2930344	2598.0	5837.0	24.0	2878124.0	5091.0	46383.0	18.0	502783.0	1002.0	126921704.0	21777006.0	5828244.0	Europe
2022-04-09	Denmark	2932847	2503.0	5861.0	24.0	2883451.0	5327.0	43535.0	18.0	503208.0	1006.0	126942420.0	21780351.0	5828300.0	Europe
2022-04-10	Denmark	2935163	2316.0	5885.0	24.0	2887537.0	4086.0	41741.0	18.0	503601.0	1010.0	126961822.0	21783471.0	5828356.0	Europe
2022-04-11	Denmark	2936789	1626.0	5908.0	23.0	2890708.0	3171.0	40173.0	18.0	503875.0	1014.0	126974589.0	21785456.0	5828411.0	Europe
2022-04-12	Denmark	2938487	1698.0	5921.0	13.0	2893894.0	3186.0	38672.0	22.0	504161.0	1016.0	126986509.0	21787291.0	5828467.0	Europe
2022-04-13	Denmark	2940998	2511.0	5932.0	11.0	2898131.0	4237.0	36935.0	22.0	504592.0	1018.0	127005063.0	21790475.0	5828467.0	Europe
2022-04-14	Denmark	2943116	2118.0	5945.0	13.0	2902283.0	4152.0	34888.0	22.0	504955.0	1020.0	127021135.0	21793232.0	5828467.0	Europe
