Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Diamond Princess	712		13.0		699.0		0.0							
2022-04-03	Diamond Princess	712		13.0		699.0		0.0							
2022-04-04	Diamond Princess	712		13.0		699.0		0.0							
2022-04-05	Diamond Princess	712		13.0		699.0		0.0							
2022-04-06	Diamond Princess	712		13.0		699.0		0.0							
2022-04-07	Diamond Princess	712		13.0		699.0		0.0							
2022-04-08	Diamond Princess	712		13.0		699.0		0.0							
2022-04-09	Diamond Princess	712		13.0		699.0		0.0							
2022-04-10	Diamond Princess	712		13.0		699.0		0.0							
2022-04-11	Diamond Princess	712		13.0		699.0		0.0							
2022-04-12	Diamond Princess	712		13.0		699.0		0.0							
2022-04-13	Diamond Princess	712		13.0		699.0		0.0							
2022-04-14	Diamond Princess	712		13.0		699.0		0.0							
