Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Dominica	11891	32.0	63.0		11683.0	9.0	145.0		164470.0	871.0	184859.0	2556868.0	72299.0	North America
2022-04-03	Dominica	11891		63.0		11683.0		145.0		164470.0	871.0	184859.0	2556868.0	72299.0	North America
2022-04-04	Dominica	11891		63.0		11683.0		145.0		164467.0	871.0	184859.0	2556833.0	72300.0	North America
2022-04-05	Dominica	11891		63.0		11683.0		145.0		164467.0	871.0	184859.0	2556833.0	72300.0	North America
2022-04-06	Dominica	11897	6.0	63.0		11704.0	21.0	130.0		164548.0	871.0	185213.0	2561693.0	72301.0	North America
2022-04-07	Dominica	11897		63.0		11704.0		130.0		164548.0	871.0	185213.0	2561693.0	72301.0	North America
2022-04-08	Dominica	11953	56.0	63.0		11757.0	53.0	133.0		165320.0	871.0	185863.0	2570648.0	72302.0	North America
2022-04-09	Dominica	11953		63.0		11757.0		133.0		165320.0	871.0	185863.0	2570648.0	72302.0	North America
2022-04-10	Dominica	11953		63.0		11757.0		133.0		165318.0	871.0	185863.0	2570613.0	72303.0	North America
2022-04-11	Dominica	11953		63.0		11757.0		133.0		165318.0	871.0	185863.0	2570613.0	72303.0	North America
2022-04-12	Dominica	11981	28.0	63.0		11887.0	130.0	31.0		165703.0	871.0	187088.0	2587519.0	72304.0	North America
2022-04-13	Dominica	11986	5.0	63.0		11897.0	10.0	26.0		165772.0	871.0	187245.0	2589691.0	72304.0	North America
2022-04-14	Dominica	11986		63.0		11897.0		26.0		165772.0	871.0	187245.0	2589691.0	72304.0	North America
