Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	El Salvador	161519	467.0	4119.0		141145.0		16255.0	45.0	24684.0	629.0	1847861.0	282396.0	6543499.0	North America
2022-04-03	El Salvador	161570	51.0	4119.0		144494.0	3349.0	12957.0	45.0	24691.0	629.0	1875785.0	286660.0	6543589.0	North America
2022-04-04	El Salvador	161570		4120.0	1.0	144494.0		12956.0	40.0	24691.0	630.0	1875785.0	286656.0	6543678.0	North America
2022-04-05	El Salvador	161570		4120.0		144494.0		12956.0	40.0	24691.0	630.0	1875785.0	286652.0	6543767.0	North America
2022-04-06	El Salvador	161570		4121.0	1.0	144494.0		12955.0	40.0	24690.0	630.0	1875785.0	286648.0	6543856.0	North America
2022-04-07	El Salvador	161570		4121.0		144494.0		12955.0	40.0	24690.0	630.0	1875785.0	286644.0	6543946.0	North America
2022-04-08	El Salvador	161570		4121.0		144494.0		12955.0	40.0	24690.0	630.0	1875785.0	286640.0	6544035.0	North America
2022-04-09	El Salvador	161570		4121.0		144494.0		12955.0	40.0	24689.0	630.0	1875785.0	286637.0	6544124.0	North America
2022-04-10	El Salvador	161945	375.0	4121.0		149057.0	4563.0	8767.0	40.0	24746.0	630.0	1917873.0	293064.0	6544213.0	North America
2022-04-11	El Salvador	162089	144.0	4122.0	1.0	150662.0	1605.0	7305.0	8.0	24768.0	630.0	1950448.0	298038.0	6544303.0	North America
2022-04-12	El Salvador	162089		4124.0	2.0	150662.0		7303.0	8.0	24768.0	630.0	1950448.0	298033.0	6544392.0	North America
2022-04-13	El Salvador	162089		4124.0		150662.0		7303.0	8.0	24768.0	630.0	1950448.0	298033.0	6544392.0	North America
2022-04-14	El Salvador	162089		4124.0		150662.0		7303.0	8.0	24768.0	630.0	1950448.0	298033.0	6544392.0	North America
