Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Estonia	557314	1012.0	2463.0	4.0	482628.0	2430.0	72223.0	8.0	419634.0	1855.0	3246905.0	2444780.0	1328097.0	Europe
2022-04-03	Estonia	558253	939.0	2466.0	3.0	484569.0	1941.0	71218.0	9.0	420340.0	1857.0	3249892.0	2447025.0	1328099.0	Europe
2022-04-04	Estonia	558706	453.0	2468.0	2.0	486425.0	1856.0	69813.0	9.0	420680.0	1858.0	3251959.0	2448576.0	1328102.0	Europe
2022-04-05	Estonia	559120	414.0	2469.0	1.0	487169.0	744.0	69482.0	9.0	420991.0	1859.0	3253888.0	2450025.0	1328104.0	Europe
2022-04-06	Estonia	560230	1110.0	2475.0	6.0	488121.0	952.0	69634.0	8.0	421826.0	1864.0	3258517.0	2453507.0	1328106.0	Europe
2022-04-07	Estonia	561228	998.0	2479.0	4.0	490210.0	2089.0	68539.0	10.0	422577.0	1867.0	3262504.0	2456503.0	1328109.0	Europe
2022-04-08	Estonia	562111	883.0	2481.0	2.0	491767.0	1557.0	67863.0	8.0	423241.0	1868.0	3266298.0	2459356.0	1328111.0	Europe
2022-04-09	Estonia	562938	827.0	2486.0	5.0	493054.0	1287.0	67398.0	7.0	423863.0	1872.0	3270148.0	2462249.0	1328114.0	Europe
2022-04-10	Estonia	563684	746.0	2490.0	4.0	494288.0	1234.0	66906.0	5.0	424424.0	1875.0	3273272.0	2464598.0	1328116.0	Europe
2022-04-11	Estonia	564031	347.0	2494.0	4.0	495521.0	1233.0	66016.0	4.0	424684.0	1878.0	3275072.0	2465948.0	1328119.0	Europe
2022-04-12	Estonia	564308	277.0	2495.0	1.0	496050.0	529.0	65763.0	5.0	424892.0	1879.0	3277017.0	2467408.0	1328121.0	Europe
2022-04-13	Estonia	565212	904.0	2498.0	3.0	496750.0	700.0	65964.0	5.0	425573.0	1881.0	3281218.0	2470572.0	1328121.0	Europe
2022-04-14	Estonia	565839	627.0	2501.0	3.0	498248.0	1498.0	65090.0	6.0	426045.0	1883.0	3284566.0	2473092.0	1328121.0	Europe
