Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Ethiopia	469784	26.0	7500.0	3.0	444479.0	1653.0	17805.0	17.0	3917.0	63.0	4663941.0	38884.0	119945147.0	Africa
2022-04-03	Ethiopia	469806	22.0	7504.0	4.0	445576.0	1097.0	16726.0	16.0	3917.0	63.0	4669508.0	38928.0	119952951.0	Africa
2022-04-04	Ethiopia	469819	13.0	7504.0		447542.0	1966.0	14773.0	16.0	3916.0	63.0	4672113.0	38947.0	119960755.0	Africa
2022-04-05	Ethiopia	469843	24.0	7508.0	4.0	449415.0	1873.0	12920.0	15.0	3916.0	63.0	4676676.0	38983.0	119968559.0	Africa
2022-04-06	Ethiopia	469879	36.0	7508.0		449425.0	10.0	12946.0	15.0	3916.0	63.0	4682260.0	39027.0	119976363.0	Africa
2022-04-07	Ethiopia	469916	37.0	7508.0		450446.0	1021.0	11962.0	14.0	3916.0	63.0	4688120.0	39073.0	119984167.0	Africa
2022-04-08	Ethiopia	469979	63.0	7508.0		452542.0	2096.0	9929.0	14.0	3917.0	63.0	4692876.0	39110.0	119991971.0	Africa
2022-04-09	Ethiopia	470005	26.0	7508.0		453523.0	981.0	8974.0	18.0	3917.0	63.0	4697803.0	39148.0	119999775.0	Africa
2022-04-10	Ethiopia	470025	20.0	7509.0	1.0	453565.0	42.0	8951.0	17.0	3917.0	63.0	4701984.0	39181.0	120007579.0	Africa
2022-04-11	Ethiopia	470050	25.0	7509.0		453570.0	5.0	8971.0	17.0	3917.0	63.0	4704274.0	39197.0	120015383.0	Africa
2022-04-12	Ethiopia	470096	46.0	7509.0		453583.0	13.0	9004.0	17.0	3917.0	63.0	4708400.0	39229.0	120023187.0	Africa
2022-04-13	Ethiopia	470108	12.0	7509.0		453586.0	3.0	9013.0	17.0	3917.0	63.0	4713675.0	39273.0	120023187.0	Africa
2022-04-14	Ethiopia	470151	43.0	7509.0		453597.0	11.0	9045.0	17.0	3917.0	63.0	4718531.0	39313.0	120023187.0	Africa
