Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Falkland Islands	123								33634.0		8632.0	2360405.0	3657.0	South America
2022-04-03	Falkland Islands	123								33634.0		8632.0	2360405.0	3657.0	South America
2022-04-04	Falkland Islands	123								33625.0		8632.0	2359759.0	3658.0	South America
2022-04-05	Falkland Islands	123								33625.0		8632.0	2359759.0	3658.0	South America
2022-04-06	Falkland Islands	123								33625.0		8632.0	2359759.0	3658.0	South America
2022-04-07	Falkland Islands	128	5.0							34982.0		8632.0	2359115.0	3659.0	South America
2022-04-08	Falkland Islands	128								34982.0		8632.0	2359115.0	3659.0	South America
2022-04-09	Falkland Islands	128								34982.0		8632.0	2359115.0	3659.0	South America
2022-04-10	Falkland Islands	128								34982.0		8632.0	2359115.0	3659.0	South America
2022-04-11	Falkland Islands	128								34973.0		8632.0	2358470.0	3660.0	South America
2022-04-12	Falkland Islands	128								34973.0		8632.0	2358470.0	3660.0	South America
2022-04-13	Falkland Islands	128								34973.0		8632.0	2358470.0	3660.0	South America
2022-04-14	Falkland Islands	128								34973.0		8632.0	2358470.0	3660.0	South America
