Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Fiji	64417	5.0	834.0		62605.0	5.0	978.0		70958.0	919.0	505020.0	556302.0	907817.0	Australia/Oceania
2022-04-03	Fiji	64420	3.0	834.0		62605.0		981.0		70960.0	919.0	505020.0	556291.0	907834.0	Australia/Oceania
2022-04-04	Fiji	64422	2.0	834.0		62605.0		983.0		70961.0	919.0	505020.0	556280.0	907852.0	Australia/Oceania
2022-04-05	Fiji	64461	39.0	834.0		62623.0	18.0	1004.0		71002.0	919.0	505211.0	556479.0	907870.0	Australia/Oceania
2022-04-06	Fiji	64466	5.0	834.0		62623.0		1009.0		71007.0	919.0	505211.0	556468.0	907888.0	Australia/Oceania
2022-04-07	Fiji	64471	5.0	834.0		62626.0	3.0	1011.0		71011.0	919.0	505477.0	556751.0	907905.0	Australia/Oceania
2022-04-08	Fiji	64491	20.0	834.0		62626.0		1031.0		71031.0	919.0	505477.0	556740.0	907923.0	Australia/Oceania
2022-04-09	Fiji	64492	1.0	834.0		62633.0	7.0	1025.0		71031.0	919.0	505477.0	556729.0	907941.0	Australia/Oceania
2022-04-10	Fiji	64498	6.0	834.0		62633.0		1031.0		71036.0	919.0	505477.0	556718.0	907958.0	Australia/Oceania
2022-04-11	Fiji	64499	1.0	834.0		62633.0		1032.0		71036.0	919.0	505477.0	556707.0	907976.0	Australia/Oceania
2022-04-12	Fiji	64499		862.0		62644.0		993.0		71035.0	949.0	505948.0	557215.0	907994.0	Australia/Oceania
2022-04-13	Fiji	64502	3.0	862.0		62662.0	18.0	978.0		71038.0	949.0	506083.0	557364.0	907994.0	Australia/Oceania
2022-04-14	Fiji	64502		862.0		62662.0		978.0		71038.0	949.0	506083.0	557364.0	907994.0	Australia/Oceania
