Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	France	25763472	148629.0	142407.0	134.0	23311449.0	72304.0	2309616.0	1486.0	393177.0	2173.0	254106036.0	3877920.0	65526369.0	Europe
2022-04-03	France	25895586	132114.0	142475.0	68.0	23371737.0	60288.0	2381374.0	1486.0	395191.0	2174.0	254106036.0	3877897.0	65526762.0	Europe
2022-04-04	France	25997852	102266.0	142506.0	31.0	23390522.0	18785.0	2464824.0	1486.0	396749.0	2175.0	254106036.0	3877874.0	65527156.0	Europe
2022-04-05	France	26025500	27648.0	142655.0	149.0	23507109.0	116587.0	2375736.0	1486.0	397169.0	2177.0	254106036.0	3877850.0	65527549.0	Europe
2022-04-06	France	26228521	203021.0	142784.0	129.0	23615792.0	108683.0	2469945.0	1541.0	400265.0	2179.0	254106036.0	3877827.0	65527943.0	Europe
2022-04-07	France	26390471	161950.0	142912.0	128.0	23717410.0	101618.0	2530149.0	1541.0	402734.0	2181.0	254106036.0	3877804.0	65528336.0	Europe
2022-04-08	France	26549263	158792.0	143017.0	105.0	23814861.0	97451.0	2591385.0	1541.0	405155.0	2183.0	260504402.0	3975423.0	65528730.0	Europe
2022-04-09	France	26698031	148768.0	143156.0	139.0	23912860.0	97999.0	2642015.0	1541.0	407422.0	2185.0	260504402.0	3975399.0	65529123.0	Europe
2022-04-10	France	26839721	141690.0	143243.0	87.0	23994004.0	81144.0	2702474.0	1541.0	409582.0	2186.0	260504402.0	3975375.0	65529517.0	Europe
2022-04-11	France	26947375	107654.0	143288.0	45.0	24018096.0	24092.0	2785991.0	1541.0	411223.0	2187.0	260504402.0	3975351.0	65529910.0	Europe
2022-04-12	France	26972867	25492.0	143466.0	178.0	24198828.0	180732.0	2630573.0	1541.0	411609.0	2189.0	260504402.0	3975327.0	65530304.0	Europe
2022-04-13	France	27163629	190762.0	143625.0	159.0	24344210.0	145382.0	2675794.0	1541.0	414520.0	2192.0	260504402.0	3975327.0	65530304.0	Europe
2022-04-14	France	27310055	146426.0	143777.0	152.0	24492686.0	148476.0	2673592.0	1541.0	416755.0	2194.0	260504402.0	3975327.0	65530304.0	Europe
