Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	French Guiana	79075		394.0		11254.0		67427.0	4.0	253264.0	1262.0	609252.0	1951330.0	312224.0	South America
2022-04-03	French Guiana	79075		394.0		11254.0		67427.0	4.0	253247.0	1262.0	609252.0	1951199.0	312245.0	South America
2022-04-04	French Guiana	79075		394.0		11254.0		67427.0	4.0	253229.0	1262.0	609252.0	1951061.0	312267.0	South America
2022-04-05	French Guiana	79075		394.0		11254.0		67427.0	4.0	253212.0	1262.0	609252.0	1950930.0	312288.0	South America
2022-04-06	French Guiana	79075		394.0		11254.0		67427.0	4.0	253195.0	1262.0	609252.0	1950799.0	312309.0	South America
2022-04-07	French Guiana	79075		394.0		11254.0		67427.0	4.0	253178.0	1261.0	609252.0	1950668.0	312330.0	South America
2022-04-08	French Guiana	79529	454.0	394.0		11254.0		67881.0	4.0	254613.0	1261.0	613484.0	1964079.0	312352.0	South America
2022-04-09	French Guiana	79529		394.0		11254.0		67881.0	4.0	254596.0	1261.0	613484.0	1963947.0	312373.0	South America
2022-04-10	French Guiana	79529		394.0		11254.0		67881.0	4.0	254579.0	1261.0	613484.0	1963815.0	312394.0	South America
2022-04-11	French Guiana	79529		394.0		11254.0		67881.0	4.0	254562.0	1261.0	613484.0	1963683.0	312415.0	South America
2022-04-12	French Guiana	79529		394.0		11254.0		67881.0	4.0	254545.0	1261.0	613484.0	1963551.0	312436.0	South America
2022-04-13	French Guiana	79529		394.0		11254.0		67881.0	4.0	254545.0	1261.0	613484.0	1963551.0	312436.0	South America
2022-04-14	French Guiana	79529		394.0		11254.0		67881.0	4.0	254545.0	1261.0	613484.0	1963551.0	312436.0	South America
