Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Gabon	47586	2.0	303.0		47266.0	1.0	17.0		20532.0	131.0	1588772.0	685521.0	2317612.0	Africa
2022-04-03	Gabon	47586		303.0		47266.0		17.0		20531.0	131.0	1588772.0	685479.0	2317756.0	Africa
2022-04-04	Gabon	47586		303.0		47266.0		17.0		20530.0	131.0	1588772.0	685436.0	2317900.0	Africa
2022-04-05	Gabon	47588	2.0	303.0		47270.0	4.0	15.0		20529.0	131.0	1589113.0	685540.0	2318044.0	Africa
2022-04-06	Gabon	47588		303.0		47270.0		15.0		20528.0	131.0	1589113.0	685498.0	2318188.0	Africa
2022-04-07	Gabon	47588		303.0		47270.0		15.0		20527.0	131.0	1589113.0	685456.0	2318331.0	Africa
2022-04-08	Gabon	47588		303.0		47270.0		15.0		20526.0	131.0	1589113.0	685413.0	2318475.0	Africa
2022-04-09	Gabon	47588		303.0		47270.0		15.0		20524.0	131.0	1589113.0	685370.0	2318619.0	Africa
2022-04-10	Gabon	47588		303.0		47270.0		15.0		20523.0	131.0	1589113.0	685328.0	2318763.0	Africa
2022-04-11	Gabon	47588		303.0		47270.0		15.0		20522.0	131.0	1589113.0	685285.0	2318907.0	Africa
2022-04-12	Gabon	47588		303.0		47270.0		15.0		20520.0	131.0	1589113.0	685243.0	2319051.0	Africa
2022-04-13	Gabon	47588		303.0		47270.0		15.0		20520.0	131.0	1589113.0	685243.0	2319051.0	Africa
2022-04-14	Gabon	47588		303.0		47270.0		15.0		20520.0	131.0	1589113.0	685243.0	2319051.0	Africa
