Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Gambia	11988		365.0		11591.0		32.0		4728.0	144.0	155686.0	61404.0	2535418.0	Africa
2022-04-03	Gambia	11988		365.0		11591.0		32.0		4728.0	144.0	155686.0	61400.0	2535605.0	Africa
2022-04-04	Gambia	11988		365.0		11591.0		32.0		4728.0	144.0	155686.0	61395.0	2535791.0	Africa
2022-04-05	Gambia	11989	1.0	365.0		11591.0		33.0		4728.0	144.0	155686.0	61391.0	2535977.0	Africa
2022-04-06	Gambia	11990	1.0	365.0		11591.0		34.0		4728.0	144.0	155686.0	61386.0	2536163.0	Africa
2022-04-07	Gambia	11990		365.0		11591.0		34.0		4727.0	144.0	155686.0	61382.0	2536349.0	Africa
2022-04-08	Gambia	11990		365.0		11591.0		34.0		4727.0	144.0	155686.0	61377.0	2536536.0	Africa
2022-04-09	Gambia	11990		365.0		11591.0		34.0		4727.0	144.0	155686.0	61373.0	2536722.0	Africa
2022-04-10	Gambia	11990		365.0		11591.0		34.0		4726.0	144.0	155686.0	61368.0	2536908.0	Africa
2022-04-11	Gambia	11990		365.0		11591.0		34.0		4726.0	144.0	155686.0	61364.0	2537094.0	Africa
2022-04-12	Gambia	11990		365.0		11591.0		34.0		4726.0	144.0	155686.0	61359.0	2537281.0	Africa
2022-04-13	Gambia	11990		365.0		11591.0		34.0		4726.0	144.0	155686.0	61359.0	2537281.0	Africa
2022-04-14	Gambia	11990		365.0		11591.0		34.0		4726.0	144.0	155686.0	61359.0	2537281.0	Africa
