Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Germany	21459975	231910.0	130342.0	297.0	16754000.0	207100.0	4575633.0	2494.0	254709.0	1547.0	104701826.0	1242708.0	84252947.0	Europe
2022-04-03	Germany	21588614	128639.0	130529.0	187.0	16886200.0	132200.0	4571885.0	2494.0	256233.0	1549.0	104701826.0	1242697.0	84253677.0	Europe
2022-04-04	Germany	21646375	57761.0	130563.0	34.0	16972700.0	86500.0	4543112.0	2494.0	256917.0	1550.0	104701826.0	1242687.0	84254408.0	Europe
2022-04-05	Germany	21769026	122651.0	130713.0	150.0	17156600.0	183900.0	4481713.0	2494.0	258370.0	1551.0	104701826.0	1242676.0	84255138.0	Europe
2022-04-06	Germany	21959130	190104.0	131183.0	470.0	17407700.0	251100.0	4420247.0	2494.0	260624.0	1557.0	104701826.0	1242665.0	84255868.0	Europe
2022-04-07	Germany	22164060	204930.0	131516.0	333.0	17675700.0	268000.0	4356844.0	2494.0	263054.0	1561.0	104701826.0	1242654.0	84256598.0	Europe
2022-04-08	Germany	22364607	200547.0	131805.0	289.0	17930900.0	255200.0	4301902.0	2494.0	265432.0	1564.0	104701826.0	1242644.0	84257328.0	Europe
2022-04-09	Germany	22534061	169454.0	132141.0	336.0	18168200.0	237300.0	4233720.0	2494.0	267441.0	1568.0	122332384.0	1451878.0	84258058.0	Europe
2022-04-10	Germany	22634098	100037.0	132311.0	170.0	18323900.0	155700.0	4177887.0	2494.0	268626.0	1570.0	122332384.0	1451865.0	84258788.0	Europe
2022-04-11	Germany	22679247	45149.0	132311.0		18414600.0	90700.0	4132336.0	2494.0	269159.0	1570.0	122332384.0	1451852.0	84259518.0	Europe
2022-04-12	Germany	22771886	92639.0	132311.0		18618400.0	203800.0	4021175.0	2494.0	270257.0	1570.0	122332384.0	1451840.0	84260248.0	Europe
2022-04-13	Germany	22936514	164628.0	132599.0	288.0	18893100.0	274700.0	3910815.0	1980.0	272210.0	1574.0	122332384.0	1451840.0	84260248.0	Europe
2022-04-14	Germany	23116402	179888.0	132906.0	307.0	19179300.0	286200.0	3804196.0	1980.0	274345.0	1577.0	122332384.0	1451840.0	84260248.0	Europe
