Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Greenland	11971		21.0		2761.0		9189.0	4.0	210231.0	369.0	164926.0	2896386.0	56942.0	North America
2022-04-03	Greenland	11971		21.0		2761.0		9189.0	4.0	210228.0	369.0	164926.0	2896335.0	56943.0	North America
2022-04-04	Greenland	11971		21.0		2761.0		9189.0	4.0	210228.0	369.0	164926.0	2896335.0	56943.0	North America
2022-04-05	Greenland	11971		21.0		2761.0		9189.0	4.0	210228.0	369.0	164926.0	2896335.0	56943.0	North America
2022-04-06	Greenland	11971		21.0		2761.0		9189.0	4.0	210228.0	369.0	164926.0	2896335.0	56943.0	North America
2022-04-07	Greenland	11971		21.0		2761.0		9189.0	4.0	210224.0	369.0	164926.0	2896284.0	56944.0	North America
2022-04-08	Greenland	11971		21.0		2761.0		9189.0	4.0	210224.0	369.0	164926.0	2896284.0	56944.0	North America
2022-04-09	Greenland	11971		21.0		2761.0		9189.0	4.0	210224.0	369.0	164926.0	2896284.0	56944.0	North America
2022-04-10	Greenland	11971		21.0		2761.0		9189.0	4.0	210220.0	369.0	164926.0	2896233.0	56945.0	North America
2022-04-11	Greenland	11971		21.0		2761.0		9189.0	4.0	210220.0	369.0	164926.0	2896233.0	56945.0	North America
2022-04-12	Greenland	11971		21.0		2761.0		9189.0	4.0	210220.0	369.0	164926.0	2896233.0	56945.0	North America
2022-04-13	Greenland	11971		21.0		2761.0		9189.0	4.0	210220.0	369.0	164926.0	2896233.0	56945.0	North America
2022-04-14	Greenland	11971		21.0		2761.0		9189.0	4.0	210220.0	369.0	164926.0	2896233.0	56945.0	North America
