Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Guinea-Bissau	8149		170.0		7139.0		840.0	6.0	3976.0	83.0	129238.0	63062.0	2049374.0	Africa
2022-04-03	Guinea-Bissau	8151	2.0	170.0		7146.0	7.0	835.0	6.0	3977.0	83.0	129753.0	63310.0	2049501.0	Africa
2022-04-04	Guinea-Bissau	8151		170.0		7146.0		835.0	6.0	3977.0	83.0	129753.0	63306.0	2049629.0	Africa
2022-04-05	Guinea-Bissau	8151		170.0		7148.0	2.0	833.0	6.0	3977.0	83.0	129866.0	63357.0	2049756.0	Africa
2022-04-06	Guinea-Bissau	8151		170.0		7191.0	43.0	790.0	6.0	3976.0	83.0	129981.0	63409.0	2049884.0	Africa
2022-04-07	Guinea-Bissau	8152	1.0	170.0		7191.0		791.0	6.0	3977.0	83.0	130258.0	63540.0	2050011.0	Africa
2022-04-08	Guinea-Bissau	8172	20.0	170.0		7260.0	69.0	742.0	6.0	3986.0	83.0	130662.0	63733.0	2050139.0	Africa
2022-04-09	Guinea-Bissau	8172		170.0		7260.0		742.0	6.0	3986.0	83.0	130662.0	63729.0	2050266.0	Africa
2022-04-10	Guinea-Bissau	8172		170.0		7260.0		742.0	6.0	3986.0	83.0	130662.0	63725.0	2050393.0	Africa
2022-04-11	Guinea-Bissau	8173	1.0	170.0		7260.0		743.0	6.0	3986.0	83.0	130662.0	63721.0	2050521.0	Africa
2022-04-12	Guinea-Bissau	8173		170.0		7268.0	8.0	735.0	6.0	3986.0	83.0	131117.0	63939.0	2050648.0	Africa
2022-04-13	Guinea-Bissau	8175	2.0	170.0		7280.0	12.0	725.0	6.0	3987.0	83.0	131390.0	64072.0	2050648.0	Africa
2022-04-14	Guinea-Bissau	8175		170.0		7280.0		725.0	6.0	3987.0	83.0	131390.0	64072.0	2050648.0	Africa
