Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Guinea	36459		440.0		35976.0		43.0	8.0	2650.0	32.0	660107.0	47987.0	13755881.0	Africa
2022-04-03	Guinea	36459		440.0		35976.0		43.0	8.0	2650.0	32.0	660107.0	47984.0	13756858.0	Africa
2022-04-04	Guinea	36459		440.0		35976.0		43.0	8.0	2650.0	32.0	660107.0	47980.0	13757835.0	Africa
2022-04-05	Guinea	36459		440.0		35976.0		43.0	8.0	2650.0	32.0	660107.0	47977.0	13758812.0	Africa
2022-04-06	Guinea	36459		440.0		35976.0		43.0	8.0	2650.0	32.0	660107.0	47974.0	13759789.0	Africa
2022-04-07	Guinea	36459		440.0		35976.0		43.0	8.0	2649.0	32.0	660107.0	47970.0	13760765.0	Africa
2022-04-08	Guinea	36459		440.0		35976.0		43.0	8.0	2649.0	32.0	660107.0	47967.0	13761742.0	Africa
2022-04-09	Guinea	36459		440.0		35976.0		43.0	8.0	2649.0	32.0	660107.0	47963.0	13762719.0	Africa
2022-04-10	Guinea	36459		440.0		35976.0		43.0	8.0	2649.0	32.0	660107.0	47960.0	13763696.0	Africa
2022-04-11	Guinea	36459		440.0		35976.0		43.0	8.0	2649.0	32.0	660107.0	47957.0	13764673.0	Africa
2022-04-12	Guinea	36459		440.0		35976.0		43.0	8.0	2649.0	32.0	660107.0	47953.0	13765649.0	Africa
2022-04-13	Guinea	36459		440.0		35976.0		43.0	8.0	2649.0	32.0	660107.0	47953.0	13765649.0	Africa
2022-04-14	Guinea	36459		440.0		35976.0		43.0	8.0	2649.0	32.0	660107.0	47953.0	13765649.0	Africa
