Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Guyana	63258	5.0	1226.0		61954.0	5.0	78.0	4.0	79751.0	1546.0	570381.0	719092.0	793196.0	South America
2022-04-03	Guyana	63267	9.0	1226.0		61962.0	8.0	79.0	4.0	79761.0	1546.0	571320.0	720266.0	793207.0	South America
2022-04-04	Guyana	63272	5.0	1226.0		61962.0		84.0	4.0	79766.0	1546.0	571790.0	720849.0	793217.0	South America
2022-04-05	Guyana	63273	1.0	1226.0		61967.0	5.0	80.0	4.0	79767.0	1546.0	572003.0	721109.0	793227.0	South America
2022-04-06	Guyana	63283	10.0	1226.0		61975.0	8.0	82.0	5.0	79778.0	1546.0	572803.0	722107.0	793238.0	South America
2022-04-07	Guyana	63294	11.0	1226.0		61976.0	1.0	92.0	5.0	79791.0	1546.0	574208.0	723869.0	793248.0	South America
2022-04-08	Guyana	63305	11.0	1226.0		61980.0	4.0	99.0	5.0	79804.0	1546.0	575267.0	725194.0	793259.0	South America
2022-04-09	Guyana	63310	5.0	1226.0		61985.0	5.0	99.0	4.0	79809.0	1546.0	576166.0	726319.0	793269.0	South America
2022-04-10	Guyana	63315	5.0	1226.0		61991.0	6.0	98.0	4.0	79814.0	1545.0	576841.0	727160.0	793279.0	South America
2022-04-11	Guyana	63326	11.0	1226.0		61991.0		109.0	3.0	79827.0	1545.0	577611.0	728121.0	793290.0	South America
2022-04-12	Guyana	63340	14.0	1226.0		62005.0	14.0	109.0	2.0	79844.0	1545.0	579608.0	730629.0	793300.0	South America
2022-04-13	Guyana	63349	9.0	1227.0	1.0	62024.0	19.0	98.0	1.0	79855.0	1547.0	580888.0	732243.0	793300.0	South America
2022-04-14	Guyana	63349		1227.0		62024.0		98.0	1.0	79855.0	1547.0	580888.0	732243.0	793300.0	South America
