Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Hong Kong	1163238	5823.0	7945.0	120.0				115.0	152988.0	1045.0	36260319.0	4768927.0	7603455.0	Asia
2022-04-03	Hong Kong	1167713	4475.0	8061.0	116.0				115.0	153573.0	1060.0	44972952.0	5914676.0	7603621.0	Asia
2022-04-04	Hong Kong	1171422	3709.0	8172.0	111.0				115.0	154058.0	1075.0	44972952.0	5914547.0	7603787.0	Asia
2022-04-05	Hong Kong	1174560	3138.0	8262.0	90.0				115.0	154467.0	1087.0	44972952.0	5914417.0	7603953.0	Asia
2022-04-06	Hong Kong	1177814	3254.0	8349.0	87.0				115.0	154892.0	1098.0	44972952.0	5914288.0	7604119.0	Asia
2022-04-07	Hong Kong	1180591	2777.0	8460.0	111.0				115.0	155253.0	1113.0	44972952.0	5914159.0	7604285.0	Asia
2022-04-08	Hong Kong	1183235	2644.0	8557.0	97.0				115.0	155598.0	1125.0	44972952.0	5914030.0	7604451.0	Asia
2022-04-09	Hong Kong	1185727	2492.0	8643.0	86.0				115.0	155922.0	1137.0	44972952.0	5913901.0	7604617.0	Asia
2022-04-10	Hong Kong	1188262	2535.0	8705.0	62.0				115.0	156252.0	1145.0	44972952.0	5913772.0	7604783.0	Asia
2022-04-11	Hong Kong	1190183	1921.0	8770.0	65.0				115.0	156501.0	1153.0	44972952.0	5913643.0	7604949.0	Asia
2022-04-12	Hong Kong	1193023	1433.0	8886.0	59.0				115.0	156871.0	1168.0	44972952.0	5913514.0	7605115.0	Asia
2022-04-13	Hong Kong	1194295	1272.0	8948.0	62.0				115.0	157038.0	1177.0	44972952.0	5913514.0	7605115.0	Asia
2022-04-14	Hong Kong	1194295		8948.0					115.0	157038.0	1177.0	44972952.0	5913514.0	7605115.0	Asia
