Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Indonesia	6015748	2930.0	155164.0	75.0	5759838.0	9036.0	100746.0	2771.0	21594.0	557.0	92077404.0	330516.0	278586508.0	Asia
2022-04-03	Indonesia	6018048	2300.0	155241.0	77.0	5764636.0	4798.0	98171.0	2771.0	21601.0	557.0	92243765.0	331104.0	278594406.0	Asia
2022-04-04	Indonesia	6019981	1933.0	155288.0	47.0	5768703.0	4067.0	95990.0	2771.0	21608.0	557.0	92326680.0	331392.0	278602304.0	Asia
2022-04-05	Indonesia	6021642	1661.0	155349.0	61.0	5776058.0	7355.0	90235.0	2771.0	21613.0	558.0	92456546.0	331849.0	278610202.0	Asia
2022-04-06	Indonesia	6023924	2282.0	155421.0	72.0	5783299.0	7241.0	85204.0	2771.0	21621.0	558.0	92541687.0	332145.0	278618099.0	Asia
2022-04-07	Indonesia	6026324	2400.0	155464.0	43.0	5788714.0	5415.0	82146.0	2771.0	21629.0	558.0	92754690.0	332900.0	278625997.0	Asia
2022-04-08	Indonesia	6028413	2089.0	155509.0	45.0	5794602.0	5888.0	78302.0	2771.0	21636.0	558.0	92817150.0	333115.0	278633895.0	Asia
2022-04-09	Indonesia	6030168	1755.0	155556.0	47.0	5798044.0	3442.0	76568.0	2771.0	21641.0	558.0	92947569.0	333574.0	278641793.0	Asia
2022-04-10	Indonesia	6031636	1468.0	155597.0	41.0	5801909.0	3865.0	74130.0	2771.0	21646.0	558.0	93136656.0	334243.0	278649691.0	Asia
2022-04-11	Indonesia	6032707	1071.0	155626.0	29.0	5804402.0	2493.0	72679.0	2771.0	21649.0	558.0	93171527.0	334358.0	278657588.0	Asia
2022-04-12	Indonesia	6035358	1455.0	155717.0	43.0	5811666.0	3286.0	67975.0	2771.0	21658.0	559.0	93452538.0	335357.0	278665486.0	Asia
2022-04-13	Indonesia	6036909	1551.0	155746.0	29.0	5814688.0	3022.0	66475.0	2771.0	21664.0	559.0	93593555.0	335863.0	278665486.0	Asia
2022-04-14	Indonesia	6036909		155746.0		5814688.0		66475.0	2771.0	21664.0	559.0	93593555.0	335863.0	278665486.0	Asia
