Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Iran	7164484	2264.0	140240.0	36.0	6877834.0	4192.0	146410.0	1596.0	83430.0	1633.0	49358909.0	574778.0	85874667.0	Asia
2022-04-03	Iran	7166371	1887.0	140277.0	37.0	6882030.0	4196.0	144064.0	1697.0	83449.0	1633.0	49358909.0	574759.0	85877604.0	Asia
2022-04-04	Iran	7167646	1275.0	140315.0	38.0	6886942.0	4912.0	140389.0	1667.0	83461.0	1634.0	49358909.0	574739.0	85880542.0	Asia
2022-04-05	Iran	7171165	3519.0	140368.0	53.0	6890768.0	3826.0	140029.0	1591.0	83499.0	1634.0	49358909.0	574719.0	85883479.0	Asia
2022-04-06	Iran	7175780	4615.0	140407.0	39.0	6895961.0	5193.0	139412.0	1440.0	83550.0	1635.0	49358909.0	574700.0	85886416.0	Asia
2022-04-07	Iran	7180008	4228.0	140451.0	44.0	6900097.0	4136.0	139460.0	1483.0	83596.0	1635.0	49358909.0	574680.0	85889353.0	Asia
2022-04-08	Iran	7183808	3800.0	140492.0	41.0	6904733.0	4636.0	138583.0	1536.0	83637.0	1636.0	49358909.0	574661.0	85892291.0	Asia
2022-04-09	Iran	7186992	3184.0	140528.0	36.0	6909967.0	5234.0	136497.0	1594.0	83672.0	1636.0	49358909.0	574641.0	85895228.0	Asia
2022-04-10	Iran	7188749	1757.0	140577.0	49.0	6913934.0	3967.0	134238.0	1647.0	83689.0	1637.0	49358909.0	574621.0	85898165.0	Asia
2022-04-11	Iran	7191643	2894.0	140616.0	39.0	6918860.0	4926.0	132167.0	1558.0	83720.0	1637.0	50020619.0	582305.0	85901102.0	Asia
2022-04-12	Iran	7194768	3125.0	140650.0	34.0	6922629.0	3769.0	131489.0	1487.0	83754.0	1637.0	50079995.0	582976.0	85904040.0	Asia
2022-04-13	Iran	7197505	2737.0	140678.0	28.0	6927042.0	4413.0	129785.0	1411.0	83785.0	1638.0	50079995.0	582976.0	85904040.0	Asia
2022-04-14	Iran	7199861	2356.0	140711.0	33.0	6930509.0	3467.0	128641.0	1376.0	83813.0	1638.0	50079995.0	582976.0	85904040.0	Asia
