Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Iraq	2319908	358.0	25167.0	3.0	2282967.0	700.0	11774.0	47.0	55498.0	602.0	18345612.0	438873.0	41801625.0	Asia
2022-04-03	Iraq	2320126	218.0	25170.0	3.0	2283537.0	570.0	11419.0	44.0	55500.0	602.0	18350589.0	438966.0	41804097.0	Asia
2022-04-04	Iraq	2320260	134.0	25173.0	3.0	2284245.0	708.0	10842.0	45.0	55500.0	602.0	18354771.0	439040.0	41806569.0	Asia
2022-04-05	Iraq	2320526	266.0	25177.0	4.0	2284933.0	688.0	10416.0	45.0	55503.0	602.0	18360532.0	439152.0	41809041.0	Asia
2022-04-06	Iraq	2320806	280.0	25178.0	1.0	2285632.0	699.0	9996.0	41.0	55506.0	602.0	18366982.0	439280.0	41811513.0	Asia
2022-04-07	Iraq	2321095	289.0	25179.0	1.0	2286233.0	601.0	9683.0	36.0	55510.0	602.0	18373555.0	439412.0	41813985.0	Asia
2022-04-08	Iraq	2321369	274.0	25181.0	2.0	2286917.0	684.0	9271.0	39.0	55513.0	602.0	18379613.0	439531.0	41816457.0	Asia
2022-04-09	Iraq	2321630	261.0	25183.0	2.0	2287525.0	608.0	8922.0	35.0	55516.0	602.0	18385478.0	439645.0	41818929.0	Asia
2022-04-10	Iraq	2321781	151.0	25183.0		2288012.0	487.0	8586.0	35.0	55517.0	602.0	18389346.0	439711.0	41821401.0	Asia
2022-04-11	Iraq	2321874	93.0	25185.0	2.0	2288524.0	512.0	8165.0	36.0	55516.0	602.0	18392880.0	439770.0	41823873.0	Asia
2022-04-12	Iraq	2322303	222.0	25186.0		2289838.0	637.0	7279.0	35.0	55522.0	602.0	18403689.0	440002.0	41826345.0	Asia
2022-04-13	Iraq	2322551	248.0	25188.0	2.0	2290436.0	598.0	6927.0	23.0	55528.0	602.0	18409261.0	440136.0	41826345.0	Asia
2022-04-14	Iraq	2322551		25188.0		2290436.0		6927.0	23.0	55528.0	602.0	18409261.0	440136.0	41826345.0	Asia
