Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Ireland	1465150	5725.0	6786.0	33.0	1300309.0	3329.0	158055.0	59.0	291032.0	1348.0	11833422.0	2350544.0	5034333.0	Europe
2022-04-03	Ireland	1468897	3747.0	6786.0		1300276.0		161835.0	59.0	291767.0	1348.0	11833422.0	2350474.0	5034484.0	Europe
2022-04-04	Ireland	1471210	2313.0	6786.0		1304319.0	4043.0	160105.0	59.0	292218.0	1348.0	11833422.0	2350403.0	5034635.0	Europe
2022-04-05	Ireland	1474374	3164.0	6799.0	13.0	1312168.0	7849.0	155407.0	59.0	292838.0	1350.0	11863308.0	2356269.0	5034785.0	Europe
2022-04-06	Ireland	1477112	2738.0	6805.0	6.0	1313409.0	1241.0	156898.0	54.0	293373.0	1352.0	11874276.0	2358377.0	5034936.0	Europe
2022-04-07	Ireland	1481171	4059.0	6824.0	19.0	1315786.0	2377.0	158561.0	58.0	294170.0	1355.0	11887837.0	2361000.0	5035086.0	Europe
2022-04-08	Ireland	1484321	3150.0	6843.0	19.0	1320122.0	4336.0	157356.0	56.0	294787.0	1359.0	11899885.0	2363322.0	5035237.0	Europe
2022-04-09	Ireland	1487164	2843.0	6863.0	20.0	1321801.0	1679.0	158500.0	58.0	295342.0	1363.0	11910682.0	2365395.0	5035388.0	Europe
2022-04-10	Ireland	1489909	2745.0	6863.0		1321781.0		161265.0	58.0	295879.0	1363.0	11910682.0	2365325.0	5035538.0	Europe
2022-04-11	Ireland	1491351	1442.0	6863.0		1325838.0	4057.0	158650.0	58.0	296156.0	1363.0	11910682.0	2365254.0	5035689.0	Europe
2022-04-12	Ireland	1494814	1748.0	6903.0	19.0	1344749.0	5454.0	143162.0	53.0	296835.0	1371.0	11942846.0	2371570.0	5035840.0	Europe
2022-04-13	Ireland	1496910	2096.0	6919.0	16.0	1346830.0	2081.0	143161.0	58.0	297251.0	1374.0	11942846.0	2371570.0	5035840.0	Europe
2022-04-14	Ireland	1496910		6919.0		1346814.0		143177.0	58.0	297251.0	1374.0	11942846.0	2371570.0	5035840.0	Europe
