Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Isle of Man	28416		84.0		26794.0		1538.0		331108.0	979.0	150753.0	1756598.0	85821.0	Europe
2022-04-03	Isle of Man	28416		84.0		26794.0		1538.0		331104.0	979.0	150753.0	1756578.0	85822.0	Europe
2022-04-04	Isle of Man	28416		84.0		26794.0		1538.0		331100.0	979.0	150753.0	1756557.0	85823.0	Europe
2022-04-05	Isle of Man	28416		84.0		26794.0		1538.0		331096.0	979.0	150753.0	1756537.0	85824.0	Europe
2022-04-06	Isle of Man	28416		84.0		26794.0		1538.0		331088.0	979.0	150753.0	1756496.0	85826.0	Europe
2022-04-07	Isle of Man	28416		84.0		26794.0		1538.0		331085.0	979.0	150753.0	1756475.0	85827.0	Europe
2022-04-08	Isle of Man	28416		84.0		26794.0		1538.0		331081.0	979.0	150753.0	1756455.0	85828.0	Europe
2022-04-09	Isle of Man	28416		84.0		26794.0		1538.0		331077.0	979.0	150753.0	1756434.0	85829.0	Europe
2022-04-10	Isle of Man	28416		87.0		26794.0		1535.0		331069.0	1014.0	150753.0	1756393.0	85831.0	Europe
2022-04-11	Isle of Man	28416		87.0		26794.0		1535.0		331065.0	1014.0	150753.0	1756373.0	85832.0	Europe
2022-04-12	Isle of Man	28416		87.0		26794.0		1535.0		331061.0	1014.0	150753.0	1756352.0	85833.0	Europe
2022-04-13	Isle of Man	28416		87.0		26794.0		1535.0		331061.0	1014.0	150753.0	1756352.0	85833.0	Europe
2022-04-14	Isle of Man	28416		87.0		26794.0		1535.0		331061.0	1014.0	150753.0	1756352.0	85833.0	Europe
