Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Israel	3926819	8587.0	10496.0	11.0	3782095.0		134228.0	236.0	421061.0	1125.0	41373364.0	4436346.0	9326000.0	Asia
2022-04-03	Israel	3934483	7664.0	10515.0	19.0	3835804.0	53709.0	88164.0	271.0	421883.0	1127.0	41373364.0	4436346.0	9326000.0	Asia
2022-04-04	Israel	3943153	8670.0	10530.0	15.0	3846922.0	11118.0	85701.0	265.0	422813.0	1129.0	41373364.0	4436346.0	9326000.0	Asia
2022-04-05	Israel	3957499	14346.0	10554.0	24.0	3883123.0	36201.0	63822.0	241.0	424351.0	1132.0	41373364.0	4436346.0	9326000.0	Asia
2022-04-06	Israel	3967740	10241.0	10554.0		3894082.0	10959.0	63104.0	259.0	425449.0	1132.0	41373364.0	4436346.0	9326000.0	Asia
2022-04-07	Israel	3974781	7041.0	10555.0	1.0	3894082.0		70144.0	258.0	426204.0	1132.0	41373364.0	4436346.0	9326000.0	Asia
2022-04-08	Israel	3982531	7750.0	10559.0	4.0	3894082.0		77890.0	249.0	427035.0	1132.0	41373364.0	4436346.0	9326000.0	Asia
2022-04-09	Israel	3987834	5303.0	10559.0		3923114.0	12571.0	54161.0	226.0	427604.0	1132.0	41373364.0	4436346.0	9326000.0	Asia
2022-04-10	Israel	3993522	5688.0	10559.0		3932746.0	9632.0	50217.0	256.0	428214.0	1132.0	41373364.0	4436346.0	9326000.0	Asia
2022-04-11	Israel	3997863	4341.0	10584.0	25.0	3941841.0	9095.0	45438.0	272.0	428679.0	1135.0	41373364.0	4436346.0	9326000.0	Asia
2022-04-12	Israel	4006177	8314.0	10591.0	7.0	3941841.0		53745.0	247.0	429571.0	1136.0	41373364.0	4436346.0	9326000.0	Asia
2022-04-13	Israel	4011666	5489.0	10601.0	10.0	3941841.0		59224.0	229.0	430159.0	1137.0	41373364.0	4436346.0	9326000.0	Asia
2022-04-14	Israel	4016919	5253.0	10601.0		3941841.0		64477.0	229.0	430723.0	1137.0	41373364.0	4436346.0	9326000.0	Asia
