Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Jordan	1689314		14003.0		1668852.0		6459.0	276.0	162740.0	1349.0	16575546.0	1596805.0	10380442.0	Asia
2022-04-03	Jordan	1689314		14003.0		1668852.0		6459.0	276.0	162736.0	1349.0	16575546.0	1596763.0	10380718.0	Asia
2022-04-04	Jordan	1689314		14003.0		1668852.0		6459.0	276.0	162731.0	1349.0	16575546.0	1596720.0	10380995.0	Asia
2022-04-05	Jordan	1689314		14003.0		1668852.0		6459.0	276.0	162727.0	1349.0	16575546.0	1596678.0	10381271.0	Asia
2022-04-06	Jordan	1689314		14003.0		1668852.0		6459.0	276.0	162723.0	1349.0	16575546.0	1596635.0	10381548.0	Asia
2022-04-07	Jordan	1689314		14003.0		1668852.0		6459.0	276.0	162718.0	1349.0	16575546.0	1596593.0	10381824.0	Asia
2022-04-08	Jordan	1694216		14048.0		1678941.0		1227.0	124.0	163186.0	1353.0	16670254.0	1605672.0	10382101.0	Asia
2022-04-09	Jordan	1694216		14048.0		1678941.0		1227.0	124.0	163182.0	1353.0	16670254.0	1605630.0	10382377.0	Asia
2022-04-10	Jordan	1694216		14048.0		1678941.0		1227.0	124.0	163178.0	1353.0	16670254.0	1605587.0	10382654.0	Asia
2022-04-11	Jordan	1694216		14048.0		1678941.0		1227.0	124.0	163173.0	1353.0	16670254.0	1605544.0	10382931.0	Asia
2022-04-12	Jordan	1694216		14048.0		1678941.0		1227.0	124.0	163169.0	1353.0	16670254.0	1605501.0	10383207.0	Asia
2022-04-13	Jordan	1694216		14048.0		1678941.0		1227.0	124.0	163169.0	1353.0	16670254.0	1605501.0	10383207.0	Asia
2022-04-14	Jordan	1694216		14048.0		1678941.0		1227.0	124.0	163169.0	1353.0	16670254.0	1605501.0	10383207.0	Asia
