Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Kenya	323436	13.0	5648.0		317658.0	17.0	130.0	1.0	5792.0	101.0	3520326.0	63039.0	55843563.0	Africa
2022-04-03	Kenya	323450	14.0	5648.0		317671.0	13.0	131.0	1.0	5792.0	101.0	3524639.0	63113.0	55846807.0	Africa
2022-04-04	Kenya	323454	4.0	5648.0		317685.0	14.0	121.0	1.0	5791.0	101.0	3527127.0	63154.0	55850051.0	Africa
2022-04-05	Kenya	323468	14.0	5648.0		317702.0	17.0	118.0	1.0	5791.0	101.0	3530634.0	63213.0	55853294.0	Africa
2022-04-06	Kenya	323479	11.0	5648.0		317717.0	15.0	114.0	1.0	5791.0	101.0	3534556.0	63279.0	55856538.0	Africa
2022-04-07	Kenya	323515	36.0	5648.0		317726.0	9.0	141.0	1.0	5792.0	101.0	3537473.0	63328.0	55859782.0	Africa
2022-04-08	Kenya	323524	9.0	5648.0		317735.0	9.0	141.0	1.0	5791.0	101.0	3540245.0	63374.0	55863025.0	Africa
2022-04-09	Kenya	323524		5648.0		317735.0		141.0	1.0	5791.0	101.0	3540245.0	63370.0	55866269.0	Africa
2022-04-10	Kenya	323531	7.0	5648.0		317754.0	19.0	129.0	1.0	5791.0	101.0	3547755.0	63501.0	55869513.0	Africa
2022-04-11	Kenya	323541	10.0	5648.0		317775.0	21.0	118.0	1.0	5791.0	101.0	3549966.0	63537.0	55872756.0	Africa
2022-04-12	Kenya	323557	16.0	5648.0		317782.0	7.0	127.0	1.0	5791.0	101.0	3551967.0	63569.0	55876000.0	Africa
2022-04-13	Kenya	323583	26.0	5649.0	1.0	317801.0	19.0	133.0		5791.0	101.0	3554588.0	63616.0	55876000.0	Africa
2022-04-14	Kenya	323588	5.0	5649.0		317801.0		138.0		5791.0	101.0	3557516.0	63668.0	55876000.0	Africa
