Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Kuwait	628978		2554.0		624538.0		1886.0	10.0	143566.0	583.0	7763313.0	1771998.0	4381108.0	Asia
2022-04-03	Kuwait	629525	547.0	2554.0		625298.0	760.0	1673.0	10.0	143685.0	583.0	7922315.0	1808219.0	4381281.0	Asia
2022-04-04	Kuwait	629525		2554.0		625298.0		1673.0	10.0	143680.0	583.0	7922315.0	1808148.0	4381453.0	Asia
2022-04-05	Kuwait	629525		2554.0		625298.0		1673.0	10.0	143674.0	583.0	7922315.0	1808076.0	4381626.0	Asia
2022-04-06	Kuwait	629912	128.0	2555.0		625796.0	154.0	1561.0	10.0	143756.0	583.0	7922315.0	1808005.0	4381799.0	Asia
2022-04-07	Kuwait	630029	117.0	2555.0		625966.0	170.0	1508.0	10.0	143778.0	583.0	7939776.0	1811919.0	4381971.0	Asia
2022-04-08	Kuwait	630134	105.0	2555.0		626113.0	147.0	1466.0	6.0	143796.0	583.0	7944328.0	1812886.0	4382144.0	Asia
2022-04-09	Kuwait	630252	118.0	2555.0		626264.0	151.0	1433.0	6.0	143817.0	583.0	7948416.0	1813747.0	4382317.0	Asia
2022-04-10	Kuwait	630252		2555.0		626264.0		1433.0	6.0	143811.0	583.0	7948416.0	1813676.0	4382489.0	Asia
2022-04-11	Kuwait	630424	102.0	2555.0		626599.0	168.0	1270.0	6.0	143845.0	583.0	7948416.0	1813605.0	4382662.0	Asia
2022-04-12	Kuwait	630542	118.0	2555.0		626731.0	132.0	1256.0	6.0	143866.0	583.0	7948416.0	1813533.0	4382834.0	Asia
2022-04-13	Kuwait	630641	99.0	2555.0		626843.0	112.0	1243.0	4.0	143889.0	583.0	7948416.0	1813533.0	4382834.0	Asia
2022-04-14	Kuwait	630641		2555.0		626843.0		1243.0	4.0	143889.0	583.0	7948416.0	1813533.0	4382834.0	Asia
