Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Kyrgyzstan	200946	11.0	2989.0	1.0	196213.0		1744.0	131.0	29936.0	445.0	1907195.0	284123.0	6712569.0	Asia
2022-04-03	Kyrgyzstan	200955	9.0	2990.0	1.0	196233.0	20.0	1732.0	131.0	29936.0	445.0	1907195.0	284111.0	6712863.0	Asia
2022-04-04	Kyrgyzstan	200968	13.0	2991.0	1.0	196243.0	10.0	1734.0	131.0	29936.0	446.0	1907195.0	284098.0	6713158.0	Asia
2022-04-05	Kyrgyzstan	200968		2991.0		196248.0	5.0	1729.0	131.0	29935.0	446.0	1907195.0	284086.0	6713452.0	Asia
2022-04-06	Kyrgyzstan	200968		2991.0		196248.0		1729.0	131.0	29934.0	446.0	1907195.0	284073.0	6713746.0	Asia
2022-04-07	Kyrgyzstan	200968		2991.0		196268.0	20.0	1709.0	131.0	29932.0	445.0	1907195.0	284061.0	6714041.0	Asia
2022-04-08	Kyrgyzstan	200968		2991.0		196268.0		1709.0	131.0	29931.0	445.0	1907195.0	284048.0	6714335.0	Asia
2022-04-09	Kyrgyzstan	200968		2991.0		196268.0		1709.0	131.0	29930.0	445.0	1907195.0	284036.0	6714629.0	Asia
2022-04-10	Kyrgyzstan	200969	1.0	2991.0		196288.0	20.0	1690.0	131.0	29929.0	445.0	1907195.0	284023.0	6714924.0	Asia
2022-04-11	Kyrgyzstan	200970	1.0	2991.0		196293.0	5.0	1686.0	131.0	29928.0	445.0	1907195.0	284011.0	6715218.0	Asia
2022-04-12	Kyrgyzstan	200970		2991.0		196303.0		1676.0	131.0	29926.0	445.0	1907195.0	283998.0	6715512.0	Asia
2022-04-13	Kyrgyzstan	200970		2991.0		196303.0		1676.0	131.0	29926.0	445.0	1907195.0	283998.0	6715512.0	Asia
2022-04-14	Kyrgyzstan	200970		2991.0		196303.0		1676.0	131.0	29926.0	445.0	1907195.0	283998.0	6715512.0	Asia
