Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Latvia	800687	1792.0	5632.0	16.0	755605.0		39450.0	28.0	432874.0	3045.0	7062678.0	3818287.0	1849698.0	Europe
2022-04-03	Latvia	802001	1314.0	5639.0	7.0	763639.0	8034.0	32723.0	24.0	433598.0	3049.0	7067416.0	3820966.0	1849641.0	Europe
2022-04-04	Latvia	802534	533.0	5643.0	4.0	765542.0	1903.0	31349.0	24.0	433899.0	3051.0	7070181.0	3822577.0	1849585.0	Europe
2022-04-05	Latvia	802887	353.0	5648.0	5.0	765542.0		31697.0	24.0	434104.0	3054.0	7072538.0	3823969.0	1849528.0	Europe
2022-04-06	Latvia	804288	1401.0	5657.0	9.0	771691.0	4800.0	26940.0	27.0	434874.0	3059.0	7079255.0	3827717.0	1849472.0	Europe
2022-04-07	Latvia	805353	1065.0	5667.0	10.0	775308.0	3617.0	24378.0	30.0	435464.0	3064.0	7084722.0	3830791.0	1849415.0	Europe
2022-04-08	Latvia	806425	1072.0	5670.0	3.0	778611.0	3303.0	22144.0	27.0	436057.0	3066.0	7089942.0	3833731.0	1849358.0	Europe
2022-04-09	Latvia	807385	960.0	5673.0	3.0	781420.0	2809.0	20292.0	27.0	436589.0	3068.0	7095201.0	3836691.0	1849302.0	Europe
2022-04-10	Latvia	808341	956.0	5678.0	5.0	783926.0	2506.0	18737.0	27.0	437119.0	3070.0	7099120.0	3838929.0	1849245.0	Europe
2022-04-11	Latvia	808799	458.0	5679.0	1.0	785060.0	1134.0	18060.0	27.0	437380.0	3071.0	7101595.0	3840384.0	1849189.0	Europe
2022-04-12	Latvia	809917	938.0	5687.0	3.0	788866.0	2878.0	15364.0	22.0	437998.0	3075.0	7109136.0	3844580.0	1849132.0	Europe
2022-04-13	Latvia	811056	1139.0	5695.0	8.0	791297.0	2431.0	14064.0	14.0	438614.0	3080.0	7114713.0	3847596.0	1849132.0	Europe
2022-04-14	Latvia	811056		5695.0		791297.0		14064.0	14.0	438614.0	3080.0	7114713.0	3847596.0	1849132.0	Europe
