Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Lebanon	1092509	352.0	10307.0	4.0	1062231.0	1837.0	19971.0	186.0	161329.0	1522.0	4795578.0	708154.0	6771939.0	Asia
2022-04-03	Lebanon	1092807	298.0	10312.0	5.0	1064061.0	1830.0	18434.0	186.0	161375.0	1523.0	4795578.0	708163.0	6771856.0	Asia
2022-04-04	Lebanon	1092995	188.0	10315.0	3.0	1064061.0		18619.0	186.0	161405.0	1523.0	4795578.0	708172.0	6771773.0	Asia
2022-04-05	Lebanon	1093267	272.0	10319.0	4.0	1064061.0		18887.0	186.0	161447.0	1524.0	4795578.0	708180.0	6771690.0	Asia
2022-04-06	Lebanon	1093551	284.0	10324.0	5.0	1067926.0	3865.0	15301.0	186.0	161491.0	1525.0	4795578.0	708189.0	6771607.0	Asia
2022-04-07	Lebanon	1093850	299.0	10327.0	3.0	1069049.0	1123.0	14474.0	186.0	161537.0	1525.0	4795578.0	708198.0	6771523.0	Asia
2022-04-08	Lebanon	1094096	246.0	10331.0	4.0	1070051.0	1002.0	13714.0	186.0	161575.0	1526.0	4795578.0	708207.0	6771440.0	Asia
2022-04-09	Lebanon	1094314	218.0	10334.0	3.0	1071133.0	1082.0	12847.0	186.0	161609.0	1526.0	4795578.0	708215.0	6771357.0	Asia
2022-04-10	Lebanon	1094503	189.0	10338.0	4.0	1072082.0	949.0	12083.0	186.0	161639.0	1527.0	4795578.0	708224.0	6771274.0	Asia
2022-04-11	Lebanon	1094672	169.0	10341.0	3.0	1072082.0		12249.0	186.0	161666.0	1527.0	4795578.0	708233.0	6771191.0	Asia
2022-04-12	Lebanon	1094911	108.0	10350.0	5.0	1074251.0	481.0	10310.0	186.0	161703.0	1529.0	4795578.0	708241.0	6771108.0	Asia
2022-04-13	Lebanon	1095099	188.0	10353.0	3.0	1074880.0	629.0	9866.0	186.0	161731.0	1529.0	4795578.0	708241.0	6771108.0	Asia
2022-04-14	Lebanon	1095099		10353.0		1074880.0		9866.0	186.0	161731.0	1529.0	4795578.0	708241.0	6771108.0	Asia
