Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Libya	501738	33.0	6419.0	4.0	490052.0	99.0	5267.0	101.0	71322.0	912.0	2473358.0	351587.0	7034832.0	Africa
2022-04-03	Libya	501738		6419.0		490052.0		5267.0	101.0	71319.0	912.0	2473358.0	351575.0	7035087.0	Africa
2022-04-04	Libya	501738		6419.0		490052.0		5267.0	101.0	71317.0	912.0	2473358.0	351562.0	7035342.0	Africa
2022-04-05	Libya	501738		6419.0		490052.0		5267.0	101.0	71314.0	912.0	2473358.0	351549.0	7035598.0	Africa
2022-04-06	Libya	501738		6419.0		490052.0		5267.0	101.0	71312.0	912.0	2473358.0	351536.0	7035853.0	Africa
2022-04-07	Libya	501738		6419.0		490052.0		5267.0	101.0	71309.0	912.0	2473358.0	351524.0	7036108.0	Africa
2022-04-08	Libya	501738		6419.0		490052.0		5267.0	101.0	71306.0	912.0	2473358.0	351511.0	7036364.0	Africa
2022-04-09	Libya	501823	16.0	6428.0	3.0	490749.0	697.0	4646.0	101.0	71316.0	914.0	2473358.0	351498.0	7036619.0	Africa
2022-04-10	Libya	501834	11.0	6429.0	1.0	490837.0	88.0	4568.0	101.0	71315.0	914.0	2475203.0	351748.0	7036874.0	Africa
2022-04-11	Libya	501834		6429.0		490837.0		4568.0	101.0	71312.0	914.0	2475203.0	351735.0	7037130.0	Africa
2022-04-12	Libya	501834		6429.0		490837.0		4568.0	101.0	71310.0	914.0	2475203.0	351722.0	7037385.0	Africa
2022-04-13	Libya	501834		6429.0		490837.0		4568.0	101.0	71310.0	914.0	2475203.0	351722.0	7037385.0	Africa
2022-04-14	Libya	501834		6429.0		490837.0		4568.0	101.0	71310.0	914.0	2475203.0	351722.0	7037385.0	Africa
