Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	Liechtenstein	16429	51.0	84.0		16199.0	272.0	146.0	4.0	428732.0	2192.0	80413.0	2098460.0	38320.0	Europe
2022-04-03	Liechtenstein	16429		84.0		16199.0		146.0	4.0	428732.0	2192.0	80413.0	2098460.0	38320.0	Europe
2022-04-04	Liechtenstein	16429		84.0		16199.0		146.0	4.0	428732.0	2192.0	80413.0	2098460.0	38320.0	Europe
2022-04-05	Liechtenstein	16559	37.0	84.0		16345.0		130.0	1.0	432124.0	2192.0	80413.0	2098460.0	38320.0	Europe
2022-04-06	Liechtenstein	16570	11.0	84.0		16345.0		141.0	2.0	432400.0	2192.0	80413.0	2098406.0	38321.0	Europe
2022-04-07	Liechtenstein	16624	54.0	84.0		16345.0		195.0	3.0	433809.0	2192.0	102174.0	2666267.0	38321.0	Europe
2022-04-08	Liechtenstein	16702	78.0	84.0		16345.0		273.0		435845.0	2192.0	102174.0	2666267.0	38321.0	Europe
2022-04-09	Liechtenstein	16714	12.0	84.0		16345.0		285.0		436146.0	2192.0	102174.0	2666197.0	38322.0	Europe
2022-04-10	Liechtenstein	16735	21.0	84.0		16345.0		306.0		436694.0	2192.0	102174.0	2666197.0	38322.0	Europe
2022-04-11	Liechtenstein	16757	22.0	84.0		16345.0		328.0		437268.0	2192.0	102174.0	2666197.0	38322.0	Europe
2022-04-12	Liechtenstein	16834	50.0	84.0		16396.0	51.0	354.0	1.0	439266.0	2192.0	102174.0	2666127.0	38323.0	Europe
2022-04-13	Liechtenstein	16865	31.0	84.0		16432.0	36.0	349.0	1.0	440075.0	2192.0	102174.0	2666127.0	38323.0	Europe
2022-04-14	Liechtenstein	16865		84.0		16432.0		349.0	1.0	440075.0	2192.0	102174.0	2666127.0	38323.0	Europe
