Date	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
2022-04-02	MS Zaandam	9		2.0		7.0		0.0							
2022-04-03	MS Zaandam	9		2.0		7.0		0.0							
2022-04-04	MS Zaandam	9		2.0		7.0		0.0							
2022-04-05	MS Zaandam	9		2.0		7.0		0.0							
2022-04-06	MS Zaandam	9		2.0		7.0		0.0							
2022-04-07	MS Zaandam	9		2.0		7.0		0.0							
2022-04-08	MS Zaandam	9		2.0		7.0		0.0							
2022-04-09	MS Zaandam	9		2.0		7.0		0.0							
2022-04-10	MS Zaandam	9		2.0		7.0		0.0							
2022-04-11	MS Zaandam	9		2.0		7.0		0.0							
2022-04-12	MS Zaandam	9		2.0		7.0		0.0							
2022-04-13	MS Zaandam	9		2.0		7.0		0.0							
2022-04-14	MS Zaandam	9		2.0		7.0		0.0							
